index,dates,ari,i_hosp_new,i_icu_new,d_new,p_w,p_s,p_l,o_0,o_1,o_2,o_3,o_4,o_5
0,2020-05-03,36587.0,80.0,43.0,55.0,0.5856865048408508,0.32636725902557373,0.5467702150344849,-1320262.9089355469,-21082.99970626831,-412.8794193267822,-62.0078706741333,-429.2160987854004,-904.103479385376
1,2020-05-10,64358.0,63.0,26.0,41.0,0.41091272234916687,0.27446287870407104,0.4936652183532715,-1283675.9567260742,-20332.000255584717,-385.023832321167,-50.05526065826416,-405.20148277282715,-840.2806377410889
2,2020-05-17,79505.0,77.0,28.0,28.0,0.28258487582206726,0.22630569338798523,0.3531482517719269,-1219317.91305542,-19674.00074005127,-363.93635272979736,-40.52075386047363,-389.31775093078613,-793.7749099731445
3,2020-05-24,73959.0,122.0,39.0,30.0,0.08387496322393417,0.2959252893924713,0.25078338384628296,-1139812.94631958,-18709.0003490448,-336.50574684143066,-30.450024604797363,-370.68188190460205,-737.6376914978027
4,2020-05-31,69131.0,131.0,38.0,37.0,0.4780838191509247,0.49120214581489563,0.15982836484909058,-1065853.9772033691,-17495.00036239624,-302.77981758117676,-20.560917854309082,-348.2401132583618,-671.5808916091919
5,2020-06-07,94849.0,128.0,44.0,44.0,0.42937180399894714,0.7517603039741516,0.1251823455095291,-996722.9843139648,-16219.000816345215,-271.48962020874023,-12.427419424057007,-322.90477752685547,-606.8218517303467
6,2020-06-14,128007.0,127.0,46.0,37.0,0.42937180399894714,0.7546553015708923,0.09771258383989334,-901873.9700317383,-15150.001049041748,-249.19991493225098,-7.306833267211914,-295.79455852508545,-552.3013401031494
7,2020-06-21,168035.0,149.0,55.0,50.0,0.3838557302951813,0.7425246834754944,0.07859934121370316,-773866.9872283936,-13876.00064277649,-226.18465423583984,-4.240718483924866,-268.2265043258667,-498.6519241333008
8,2020-06-28,165387.0,171.0,68.0,54.0,0.3838557302951813,0.7211151123046875,0.06655175238847733,-605832.0045471191,-12305.001020431519,-202.98027992248535,-1.2662886083126068,-240.63849449157715,-444.8850917816162
9,2020-07-05,123846.0,235.0,78.0,52.0,0.3838557302951813,0.0,0.06449712812900543,-440444.9939727783,-10314.000844955444,-179.4202208518982,0.0,-213.37757110595703,-392.797794342041
10,2020-07-12,95453.0,249.0,78.0,65.0,0.3838557302951813,0.0,0.06144676357507706,-316598.9875793457,-8078.000545501709,-156.41472339630127,0.0,-186.4697813987732,-342.8845024108887
11,2020-07-19,71634.0,207.0,73.0,93.0,0.3838557302951813,0.0,0.05675000697374344,-221145.98751068115,-5874.000191688538,-133.80746841430664,0.0,-159.91531610488892,-293.72278690338135
12,2020-07-26,52958.0,157.0,69.0,68.0,0.3838557302951813,0.0,0.05023752897977829,-149511.99293136597,-4135.000109672546,-111.483895778656,0.0,-133.56337547302246,-245.0472593307495
13,2020-08-02,38447.0,129.0,36.0,43.0,0.3838557302951813,0.0,0.03897747024893761,-96553.99322509766,-2770.9999680519104,-89.36338424682617,0.0,-107.28148221969604,-196.64486646652222
14,2020-08-09,26995.0,92.0,34.0,42.0,0.3838557302951813,0.0,0.017708681523799896,-58106.99462890625,-1680.999994277954,-67.38737225532532,0.0,-80.92344999313354,-148.31082701683044
15,2020-08-16,18507.0,65.0,17.0,27.0,0.3366893529891968,0.0,0.005238871090114117,-31111.997365951538,-887.9999816417694,-45.510655641555786,0.0,-54.25015687942505,-99.76081609725952
16,2020-08-23,12605.0,41.0,18.0,19.0,0.3659428656101227,0.0,0.010089834220707417,-12604.999542236328,-362.9999980330467,-22.99836575984955,0.0,-27.17078924179077,-50.169158577919006
