index,dates,ari,i_hosp_new,i_icu_new,d_new,p_w,p_s,p_l,o_0,o_1,o_2,o_3,o_4,o_5
0,2020-05-03,52753.0,100.0,44.0,50.0,0.972009003162384,0.9389788508415222,0.968713641166687,-4902189.254760742,-81761.99913024902,-221.11613750457764,-43.40309143066406,-194.2115306854248,-458.7307834625244
1,2020-05-10,229448.0,59.0,14.0,39.0,0.9788421988487244,0.9383084774017334,0.9529013633728027,-4849436.187744141,-81014.00375366211,-200.37431716918945,-35.027527809143066,-176.195228099823,-411.59711837768555
2,2020-05-17,795655.0,155.0,39.0,45.0,0.8668716549873352,0.8878966569900513,0.8875269293785095,-4619988.250732422,-80041.00799560547,-199.30678606033325,-34.20607566833496,-174.9525785446167,-408.46545696258545
3,2020-05-24,1404861.0,574.0,210.0,94.0,0.4082270562648773,0.15895846486091614,0.32823657989501953,-3824333.1909179688,-76780.00450134277,-196.76681756973267,-33.23493003845215,-172.76493310928345,-402.76668548583984
4,2020-05-31,940336.0,1595.0,550.0,261.0,0.41652944684028625,0.14880821108818054,0.3304230272769928,-2419472.122192383,-66129.00257110596,-187.420654296875,-29.74611759185791,-164.98255729675293,-382.149338722229
5,2020-06-07,613001.0,2072.0,686.0,530.0,0.41836994886398315,0.13464252650737762,0.33201465010643005,-1479136.085510254,-47881.00242614746,-172.70625829696655,-23.43442440032959,-151.76228284835815,-347.90297985076904
6,2020-06-14,366046.0,1570.0,556.0,554.0,0.4236847162246704,0.12453857809305191,0.3460123836994171,-866135.0250244141,-30989.999771118164,-158.72265100479126,-17.05777883529663,-139.15334939956665,-314.93378162384033
7,2020-06-21,213866.0,1073.0,366.0,450.0,0.44777628779411316,0.11387143284082413,0.3737524449825287,-500088.9778137207,-18852.999210357666,-144.55974102020264,-10.296283960342407,-126.51705741882324,-281.3730812072754
8,2020-06-28,125107.0,673.0,236.0,304.0,0.4623344838619232,0.10658329725265503,0.38602155447006226,-286223.0062484741,-11205.999851226807,-130.3217053413391,-3.1550535559654236,-113.96691799163818,-247.44367361068726
9,2020-07-05,70913.0,405.0,133.0,203.0,0.46918612718582153,0.0,0.38860246539115906,-161116.00399017334,-6552.000045776367,-116.28237962722778,0.0,-101.59945487976074,-217.88184642791748
10,2020-07-12,40737.0,232.0,89.0,121.0,0.47000789642333984,0.0,0.3862272799015045,-90202.99911499023,-3785.0001454353333,-102.32861042022705,0.0,-89.23740983009338,-191.5660285949707
11,2020-07-19,22763.0,138.0,45.0,63.0,0.46654143929481506,0.0,0.38238856196403503,-49466.001987457275,-2120.000123977661,-88.35787773132324,0.0,-76.78674459457397,-165.14461755752563
12,2020-07-26,12707.0,81.0,25.0,31.0,0.4597638249397278,0.0,0.37885430455207825,-26703.00006866455,-1172.0000207424164,-74.28335547447205,0.0,-64.21605348587036,-138.49940299987793
13,2020-08-02,6949.0,36.0,21.0,24.0,0.4495954215526581,0.0,0.3756529986858368,-13996.000587940216,-641.9999897480011,-60.03420352935791,0.0,-51.53484344482422,-111.56904816627502
14,2020-08-09,3912.0,26.0,4.0,7.0,0.4357736110687256,0.0,0.37182101607322693,-7047.000527381897,-341.99997782707214,-45.54051756858826,0.0,-38.76405358314514,-84.30457592010498
15,2020-08-16,2033.0,6.0,3.0,8.0,0.42075061798095703,0.0,0.3678992986679077,-3135.000169277191,-165.99999740719795,-30.719929933547974,0.0,-25.91087520122528,-56.63080930709839
16,2020-08-23,1102.0,9.0,2.0,4.0,0.4153340458869934,0.0,0.3698963224887848,-1102.0000092685223,-54.00000140070915,-15.508782863616943,0.0,-12.971901893615723,-28.48068505525589
