index,dates,ari,i_hosp_new,i_icu_new,d_new,p_w,p_s,p_l,o_0,o_1,o_2,o_3,o_4,o_5
0,2020-05-03,22971.0,93.0,35.0,55.0,0.05206559970974922,0.13633522391319275,0.02254343405365944,-72518.99838447571,-1002202.1484375,-640.814208984375,-87.72337913513184,-489.6146774291992,-1218.1522178649902
1,2020-05-10,13712.0,76.0,18.0,23.0,0.07045023888349533,0.2780030369758606,0.08021270483732224,-49548.00009727478,-1001459.1217041016,-602.8539180755615,-74.55272674560547,-457.92250633239746,-1135.329122543335
2,2020-05-17,9972.0,38.0,12.0,27.0,0.054012078791856766,0.2984589636325836,0.06880828738212585,-35835.99925041199,-1000920.1049804688,-561.5548610687256,-63.35629463195801,-425.6113529205322,-1050.5224800109863
3,2020-05-24,7087.0,27.0,8.0,19.0,0.052718404680490494,0.2869543135166168,0.07527371495962143,-25863.999128341675,-1000624.0844726562,-520.4823017120361,-53.45085620880127,-394.3251132965088,-968.258228302002
4,2020-05-31,5061.0,14.0,1.0,7.0,0.05262087658047676,0.2778477966785431,0.09142784774303436,-18777.000904083252,-1000429.0771484375,-479.0128707885742,-43.66419792175293,-362.9472017288208,-885.6242179870605
5,2020-06-07,3677.0,13.0,3.0,2.0,0.05672657489776611,0.2774854302406311,0.11221826821565628,-13716.000318527222,-1000321.044921875,-437.54124641418457,-33.74819993972778,-331.95390701293945,-803.2433223724365
6,2020-06-14,2743.0,8.0,4.0,4.0,0.06483235955238342,0.28700968623161316,0.1359148621559143,-10039.00021314621,-1000228.0426025391,-396.16594314575195,-23.768701553344727,-301.5918254852295,-721.5264129638672
7,2020-06-21,2112.0,4.0,1.0,1.0,0.07639531791210175,0.3037995994091034,0.15826821327209473,-7296.000421047211,-1000167.0074462891,-355.06110191345215,-13.84990930557251,-271.9869375228882,-640.8979225158691
8,2020-06-28,1424.0,3.0,1.0,2.0,0.09007085114717484,0.3193106949329376,0.17997752130031586,-5183.999985456467,-1000129.0130615234,-314.3873929977417,-4.110861420631409,-243.17286014556885,-561.6710901260376
9,2020-07-05,939.0,5.0,0.0,2.0,0.11020375788211823,0.0,0.20446345210075378,-3759.9999457597733,-1000093.994140625,-274.2678165435791,0.0,-215.11094570159912,-489.37873363494873
10,2020-07-12,705.0,3.0,0.0,1.0,0.14399807155132294,0.0,0.23832781612873077,-2820.9999203681946,-1000063.0187988281,-234.87107753753662,0.0,-187.82470226287842,-422.69575595855713
11,2020-07-19,543.0,1.0,1.0,0.0,0.20916101336479187,0.0,0.3011089563369751,-2115.9999072551727,-1000045.0134277344,-196.61004543304443,0.0,-161.49982213974,-358.10983657836914
12,2020-07-26,468.0,0.0,1.0,0.0,0.13595078885555267,0.0,0.14323315024375916,-1572.9999169707298,-1000034.0270996094,-160.40618419647217,0.0,-136.72852516174316,-297.1346855163574
13,2020-08-02,348.0,1.0,1.0,0.0,0.31312108039855957,0.0,0.1822262406349182,-1104.9999855458736,-1000026.0162353516,-124.50704574584961,0.0,-110.94470024108887,-235.45173168182373
14,2020-08-09,257.0,1.0,0.0,0.0,0.31312108039855957,0.0,0.1822262406349182,-756.9999899715185,-1000018.0053710938,-90.01696109771729,0.0,-82.63623714447021,-172.65319347381592
15,2020-08-16,264.0,0.0,0.0,0.0,0.31312108039855957,0.0,0.1822262406349182,-499.9999888241291,-1000009.9945068359,-60.009920597076416,0.0,-55.089640617370605,-115.09956479072571
16,2020-08-23,236.0,1.0,0.0,0.0,0.31312108039855957,0.0,0.1822262406349182,-236.0000042244792,-1000006.0272216797,-30.00425696372986,0.0,-27.544215321540833,-57.54846811294556
