,mu_o_1,mu_o_5,std_o_1,std_o_5
0,-150212.03994750977,-54.222861528396606,0.0,6.144931097848359
1,-150122.0417022705,-55.268129406629576,0.0,5.065673591491264
2,-150112.4668121338,-55.40788727634724,0.0,4.989518142211911
3,-149988.8515472412,-58.708357331245374,0.0,3.6431605101128244
4,-149778.3088684082,-62.49615231934441,0.0,5.8424446775992935
5,-149674.9782562256,-63.23980979605974,0.0,5.885699875785741
6,-149588.50860595703,-64.41426870820992,0.0,6.1875977020479125
7,-149568.99642944336,-64.61822639504973,0.0,6.267873505530708
8,-149543.20907592773,-65.0090605207547,0.0,6.171960562402181
9,-149516.01028442383,-65.53787092706861,0.0,6.071362996979919
10,-149150.42877197266,-70.59240040009647,0.0,6.563860201547687
11,-148820.81985473633,-74.97317649392777,0.0,9.080306857887463
12,-148793.3349609375,-75.74705342118827,0.0,9.374673658765811
13,-148596.4870452881,-80.07383806813121,0.0,11.030134588040168
14,-148570.9571838379,-80.2869295146802,0.0,11.01385860172855
15,-148181.13327026367,-83.23278953995055,0.0,11.370593356431856
16,-148124.93324279785,-83.72940815802113,0.0,11.571151811721641
17,-148026.4377593994,-84.34003113328791,0.0,11.632902866239613
18,-147790.0505065918,-84.92523595099335,0.0,11.64906591035879
19,-147625.42724609375,-85.74610880271457,0.0,11.393679544709908
20,-147170.13359069824,-87.79227254595052,0.0,10.854624427433448
21,-146926.25045776367,-90.39133655742246,0.0,11.521596374173358
22,-146599.95079040527,-91.28528184214949,0.0,11.824622449775546
23,-146368.62754821777,-91.91900526319114,0.0,12.074159634481742
24,-146173.35319519043,-93.21591185363361,0.0,10.909158945739724
25,-145598.87886047363,-96.53729407723081,0.0,7.391150711217774
26,-144961.3094329834,-102.25914695488466,0.0,7.374180858112243
27,-144948.58741760254,-102.35629530109603,0.0,7.387318455942499
28,-144879.84657287598,-103.2653695534793,0.0,7.839354567624625
29,-144536.88621520996,-107.07330791147767,0.0,10.836472862365046
30,-144387.3119354248,-108.47411458956451,0.0,11.900818428834086
31,-144256.9351196289,-109.60169493889751,0.0,12.707738994204258
32,-144193.58253479004,-111.40967551467915,0.0,15.04613692878259
33,-144038.67721557617,-112.39378934386465,0.0,15.4630898633321
34,-143881.9408416748,-115.9039678488484,0.0,14.194285079347894
35,-143776.4549255371,-118.0749180526,0.0,14.067559387308545
36,-143707.21817016602,-119.45156436802472,0.0,14.405361699954897
37,-143629.29344177246,-121.42462894358228,0.0,14.466354044900491
38,-142865.99159240723,-129.26179158272805,0.0,10.428633948010253
39,-142720.2320098877,-131.11916277139767,0.0,9.951693799357189
40,-142511.92092895508,-135.60001471161004,0.0,7.3902932765968545
41,-142337.2459411621,-139.83107177310688,0.0,6.048890460103885
42,-142273.61679077148,-140.98957514537702,0.0,5.829321679071283
43,-142003.43132019043,-144.39400563494914,0.0,5.899717009928986
44,-141945.25718688965,-145.05687498721127,0.0,5.899774919071374
45,-141560.36376953125,-148.34520605837093,0.0,5.975246169619236
46,-140892.8394317627,-151.33358461634396,0.0,5.528039791554356
47,-140509.18579101562,-155.256165301663,0.0,8.663562663225834
48,-139317.90351867676,-157.43585721373967,0.0,8.777281659044299
49,-139287.54806518555,-157.83283847456252,0.0,8.220915738019675
50,-138681.42127990723,-167.95948084134315,0.0,6.447753033530328
51,-138544.0158843994,-170.6756957043307,0.0,8.97339699267444
52,-138338.34648132324,-172.4105843389871,0.0,8.780161602516346
53,-138122.8542327881,-173.50605981471614,0.0,8.81850519374451
54,-137376.7852783203,-174.81848160685414,0.0,8.754477198861448
55,-135767.87948608398,-183.89822297787637,0.0,11.80833589938936
56,-134397.02987670898,-189.8591573791369,0.0,16.82383350844252
57,-133795.52841186523,-191.31171658835146,0.0,17.176305551800702
58,-133294.8398590088,-193.25244355733608,0.0,16.586503652915855
59,-132817.19207763672,-204.77706820050406,0.0,20.85963127078604
60,-132312.46948242188,-207.45944893917658,0.0,21.06791844542942
61,-132258.07189941406,-207.83386167643022,0.0,20.999826827748425
62,-131829.40483093262,-216.0497849749923,0.0,20.153607224287875
63,-130890.89393615726,-222.17000297082728,1.4551915228366852e-11,19.49274928552608
64,-129793.18618774414,-227.66716289840437,0.0,18.370537580766992
65,-129625.63514709473,-228.68722857664662,0.0,18.494347079350867
66,-129456.31980895996,-229.8360845290744,0.0,18.821329125867695
67,-128331.86149597168,-235.2233968406496,0.0,21.090960438628674
68,-128328.43780517578,-235.2476029264488,0.0,21.084170475066344
69,-127561.02561950684,-251.06594782534808,0.0,25.884194059394957
70,-127135.2481842041,-254.7671357396868,0.0,25.42955843537003
71,-125898.53286743164,-263.42327796476826,0.0,24.201576596155228
72,-125625.99182128906,-265.1666911859111,0.0,24.112640137656633
73,-125249.8912811279,-268.9949087263895,1.4551915228366852e-11,22.255366468261077
74,-125167.5033569336,-270.4958341156985,0.0,23.142695668964183
75,-124760.31303405762,-273.91756973785266,0.0,20.72243985893208
76,-124730.25321960446,-274.33464496127556,1.4551915228366852e-11,20.476323862472192
77,-124122.45750427246,-282.65658400293916,0.0,16.827935939943266
78,-124070.36781311038,-283.36241982622204,1.4551915228366852e-11,16.64119531999637
79,-123912.15324401855,-284.73432754144955,0.0,16.389616362869564
80,-123420.6771850586,-288.5748164268592,0.0,16.74965495139667
81,-122610.38780212402,-290.52808239981925,0.0,15.999260593915535
82,-121173.9730834961,-297.467372170949,0.0,11.672765369336611
83,-120717.2679901123,-299.367119882614,0.0,11.219784058052795
84,-119160.48049926758,-302.6418956510611,0.0,11.50098882800239
85,-116735.2294921875,-308.20406196006735,0.0,13.591369134382873
86,-116595.34454345706,-313.9888261742538,1.4551915228366852e-11,16.47445877388377
87,-116572.00813293454,-315.4602871731273,1.4551915228366852e-11,17.70513504929748
88,-116513.671875,-316.8688609696686,0.0,18.31158112348829
89,-116064.51988220218,-318.0166608820907,1.4551915228366852e-11,18.570736161319843
90,-113961.46774291992,-322.731812085837,0.0,19.71639772848432
91,-113867.23518371582,-323.00266667169626,0.0,19.834792649417953
92,-111602.34451293942,-333.32997397173875,1.4551915228366852e-11,26.286972230078156
93,-110879.97436523438,-337.0432354868764,0.0,28.94246617789751
94,-109156.78024291992,-342.9301916345062,0.0,33.13533194279985
95,-107526.09252929688,-345.5787755981738,0.0,33.89260152434954
96,-106606.99844360352,-357.80231969059406,0.0,19.536699499133245
97,-106567.0108795166,-357.9052364816772,0.0,19.518687035660683
98,-105550.83274841309,-361.00344692022657,0.0,19.336243043872695
99,-104471.9123840332,-364.9308380357636,0.0,20.340417635747293
100,-104337.8448486328,-365.6765898444851,0.0,20.38173696866864
101,-103897.0184326172,-367.397097470944,0.0,20.788924182425255
102,-101919.30770874023,-375.9081869820189,0.0,23.05447586719194
103,-101462.28790283205,-377.64411553400777,0.0,23.233032141769154
104,-101307.70683288574,-378.49469644513385,0.0,22.91966842566263
105,-101272.85957336426,-382.8641420722917,0.0,23.47546202391592
106,-100922.99461364746,-390.0022387185692,0.0,27.328710694537467
107,-100789.3180847168,-390.7052009383877,0.0,27.04111541020978
108,-99846.44889831544,-395.09366575318086,0.0,25.082395287353418
109,-99503.09753417967,-399.4680130809632,0.0,20.979815590964723
110,-99217.06199645996,-405.66020394475015,0.0,17.871812368719585
111,-99184.59892272948,-406.3428203497939,0.0,17.598094725223042
112,-98934.12590026855,-409.5466021067488,0.0,16.051071400629965
113,-98884.09614562988,-411.35506582439405,0.0,15.907632151220357
114,-98759.38415527344,-412.0260316634184,0.0,15.774741931245723
115,-96805.57250976562,-422.59855636398413,0.0,15.981067617878502
116,-96507.23457336426,-424.2821943909315,0.0,16.36321773118783
117,-95678.56788635254,-427.0866169566378,0.0,15.254787140273017
118,-95250.62561035156,-429.3371946228942,0.0,15.105641858232019
119,-94250.6217956543,-432.51319880085674,0.0,13.962491864358697
120,-93457.36503601074,-434.71674458598665,0.0,13.122198113505915
121,-93164.95895385742,-435.90697251007157,0.0,12.785785187143656
122,-91746.40655517578,-442.0205583727284,0.0,12.13884127363088
123,-91646.3565826416,-443.40428788062854,0.0,12.079524373806652
124,-91543.19763183594,-446.457927870407,0.0,13.281057140087771
125,-91534.35707092284,-446.70963896883643,0.0,13.46078891541091
126,-91220.8652496338,-449.5653591562278,0.0,14.911597074721023
127,-91168.67065429688,-449.89996881886964,0.0,15.028843332619154
128,-90698.94790649414,-462.306243227126,0.0,10.413459838828379
129,-90405.32112121582,-463.925283749407,0.0,11.289918069579691
130,-90275.11596679688,-464.42469325777813,0.0,11.390468386857416
131,-89910.93635559082,-466.06769799502615,0.0,11.505295090856379
132,-89471.66442871094,-467.4529417686875,0.0,10.717002159461545
133,-89425.60195922852,-467.62489183026355,0.0,10.621137664294736
134,-88106.48918151855,-474.03469675823,0.0,10.81432930770502
135,-88024.35874938965,-474.3417596967929,0.0,10.680090347520375
136,-87209.52033996582,-477.39176424909203,0.0,9.483651953898184
137,-86881.46591186523,-478.95151381682246,0.0,9.028801447119836
138,-86710.84403991699,-484.40216142322197,0.0,7.9576461484281875
139,-86264.46723937988,-486.53973945019425,0.0,7.5306154581664835
140,-85872.9362487793,-487.982593786029,0.0,7.4752090032817105
141,-85816.68853759766,-488.31691711289733,0.0,7.28230377161528
142,-85068.81713867188,-492.9051179871876,0.0,4.768420948743558
143,-84677.11448669434,-494.953907923389,0.0,3.7301738971649208
144,-84037.44697570801,-497.96287881584647,0.0,3.381697178424003
145,-83352.43225097656,-500.6674267710244,0.0,4.275867889040579
146,-83066.0343170166,-502.06220015326636,0.0,4.810732863547303
147,-82310.80055236816,-507.7248754271923,0.0,10.98010066775142
148,-80668.58291625977,-512.4655990637841,0.0,10.888007431646509
149,-80338.17291259766,-514.510331408514,0.0,11.301910764063782
150,-80333.90045166016,-514.5375152866069,0.0,11.311482148119506
151,-79807.70111083984,-527.3216899034882,0.0,15.684281931947716
152,-79286.07940673828,-531.0353150802414,0.0,17.1644822612205
153,-78942.26551055908,-537.4352216753438,0.0,20.848000104986845
154,-78776.33571624756,-539.8324268343497,0.0,22.893363481770436
