,mu_o_1,mu_o_5,std_o_1,std_o_5
0,-150216.28379821777,-51.370479226112366,0.0,3.9918435164744364
1,-150208.8737487793,-51.43897211551666,0.0,3.9223592247822143
2,-150137.10975646973,-51.76783963594769,0.0,3.6424195503741283
3,-150120.72563171387,-51.96606662836964,0.0,3.6031210247367813
4,-150095.63446044922,-53.39599603816621,0.0,3.338809971805469
5,-149972.88703918457,-54.97997619110912,0.0,3.364114385572577
6,-149877.19535827637,-55.76469528214975,0.0,3.468019349058384
7,-149863.10005187988,-55.89960775938189,0.0,3.5009722684344293
8,-149814.9585723877,-56.313826607191345,0.0,3.6411885282969174
9,-149689.57901000977,-57.498073732511116,0.0,4.166156502126543
10,-149612.48397827148,-58.32456492342915,0.0,4.600942075656677
11,-149451.55143737793,-59.433958773339825,0.0,5.230226779450196
12,-149273.31924438477,-60.87533169800039,0.0,5.591752273938101
13,-148989.50576782227,-63.10993541046257,0.0,6.1990747083460445
14,-148909.65461730957,-64.26978352924401,0.0,6.421779301989722
15,-148607.72132873535,-68.17383160241832,0.0,7.722600850914564
16,-148497.6291656494,-69.48745053581206,0.0,8.317249046832234
17,-148137.5503540039,-73.70408564435272,0.0,10.569738864741353
18,-147970.52383422852,-76.54447111129707,0.0,13.071239344359045
19,-147550.7926940918,-80.00819343119836,0.0,14.035851142262612
20,-147341.76635742188,-82.28030114288376,0.0,14.936946475788208
21,-147074.03182983398,-86.02786510065935,0.0,15.976342348065126
22,-146774.67346191406,-89.77004524750745,0.0,16.868324058662683
23,-146557.66487121582,-91.55412052593867,0.0,16.67416657101348
24,-146492.39540100098,-92.2773605992693,0.0,16.681365310239617
25,-146372.13706970215,-95.5358197962839,0.0,14.088576460459265
26,-145813.11225891113,-101.4311642657323,0.0,16.64167620778007
27,-145670.28045654297,-101.92486409547246,0.0,16.463532064448366
28,-145520.05767822266,-102.7549978325184,0.0,16.482156188691167
29,-144951.7822265625,-105.79085315180146,0.0,16.760146412565245
30,-144677.99186706543,-107.43035301475922,0.0,16.87620864519849
31,-144628.6392211914,-108.69049430648693,0.0,18.05515039242609
32,-143839.84565734863,-111.33267734281533,0.0,16.408682767386498
33,-142415.52352905273,-115.88766980566773,0.0,14.116821308720622
34,-141573.26698303223,-119.96608825130625,0.0,15.148235941954006
35,-141245.87059020996,-121.56382325856953,0.0,15.707737041345228
36,-140738.2869720459,-124.22709604168521,0.0,16.711623831736244
37,-139866.5714263916,-128.63012617746384,0.0,18.610206666394046
38,-139249.86839294434,-130.9179318265116,0.0,18.87326825896878
39,-137699.6898651123,-137.2878328172146,0.0,20.72592297059239
40,-136619.56787109375,-142.5053876834435,0.0,23.451952201184767
41,-136606.4739227295,-142.90208707714635,0.0,23.026367331194095
42,-136574.03945922852,-143.91030976325504,0.0,22.05381865598936
43,-136453.29475402832,-144.6829182589279,0.0,22.389902637032723
44,-135441.26510620117,-151.38998806432633,0.0,25.7381186336747
45,-134631.76727294922,-156.18750063095348,0.0,29.245701290845858
46,-134378.75747680664,-157.83309254682763,0.0,30.264534913111245
47,-133279.82902526855,-163.72509358708083,0.0,32.80259026241383
48,-130652.86636352542,-176.49194331542657,1.4551915228366852e-11,37.985377540993824
49,-130496.43516540527,-177.3532264610887,0.0,38.253484365192925
50,-130411.4818572998,-189.98168264831924,0.0,34.71046247256402
51,-130248.20327758786,-190.93947088255857,1.4551915228366852e-11,34.943715089791496
52,-129077.09121704102,-196.2896833403616,0.0,34.52996229426725
53,-127482.44285583496,-205.4564204491186,0.0,35.25989282311157
54,-125003.9005279541,-225.15789508621333,0.0,28.75464761065988
55,-124604.92134094238,-227.63372457534788,0.0,27.14481464322405
56,-121353.80744934082,-247.99795562215064,0.0,13.993633623821916
57,-120915.32707214355,-251.21408000120655,0.0,12.836030758573843
58,-120564.48936462402,-253.81450685556456,0.0,11.993550047784849
