index,dates,ari,i_hosp_new,i_icu_new,d_new,p_w,p_s,p_l,o_0,o_1,o_2,o_3,o_4,o_5
0,2020-05-03,54638.0,98.0,25.0,54.0,0.9913960099220276,0.9736475944519043,0.9927451014518738,-6968311.309814453,-119328.99475097656,-56.084781885147095,-41.26249313354492,-55.01089096069336,-152.35817313194275
1,2020-05-10,240992.0,75.0,25.0,23.0,0.9677111506462097,0.7986149787902832,0.97355055809021,-6913673.400878906,-118560.99128723145,-35.58473289012909,-33.034701347351074,-37.240397930145264,-105.85983753204346
2,2020-05-17,809650.0,166.0,45.0,38.0,0.9686882495880127,0.48600998520851135,0.944642186164856,-6672681.427001953,-117538.99574279785,-34.7987025976181,-31.70217514038086,-36.7384672164917,-103.23935151100159
3,2020-05-24,1776044.0,589.0,191.0,96.0,0.8364413380622864,0.20119939744472504,0.9061428308486938,-5863031.387329102,-114085.99853515625,-33.576589822769165,-27.777726650238037,-35.60272455215454,-96.95704936981201
4,2020-05-31,1872718.0,1863.0,632.0,283.0,0.7985013723373413,0.17556674778461456,0.29235538840293884,-4086987.3046875,-102567.99697875977,-31.24445378780365,-22.08193302154541,-34.0055376291275,-87.3319262266159
5,2020-06-07,918953.0,3196.0,1170.0,660.0,0.4012758135795593,0.19440242648124695,0.08330900222063065,-2214269.0658569336,-77056.99920654297,-27.654963731765747,-16.675959825515747,-28.484314680099487,-72.81523704528809
6,2020-06-14,413828.0,2772.0,951.0,851.0,0.599410355091095,0.5042219758033752,0.9842814803123474,-1295316.0285949707,-47614.0022277832,-19.802549481391907,-11.23165249824524,-15.497347712516785,-46.53155207633972
7,2020-06-21,336436.0,1387.0,491.0,658.0,0.9981020092964172,0.5042219758033752,0.9982805252075195,-881488.037109375,-28839.001655578613,-6.947924196720123,-6.053673028945923,-5.528229475021362,-18.529826402664185
8,2020-06-28,231071.0,853.0,320.0,415.0,0.9987032413482666,0.543449342250824,0.9902984499931335,-545052.0038604736,-18792.999982833862,-0.6293762475252151,-1.8757244944572449,-5.329050496220589,-7.834151163697243
9,2020-07-05,136073.0,602.0,229.0,251.0,0.9985640645027161,0.0,0.9902498126029968,-313981.0085296631,-12163.000106811523,-0.5817211698740721,0.0,-5.2188243716955185,-5.8005452156066895
10,2020-07-12,79288.0,430.0,134.0,168.0,0.9983739852905273,0.0,0.9898483157157898,-177908.0033302307,-7495.9999322891235,-0.5406566895544529,0.0,-5.000848695635796,-5.541505180299282
11,2020-07-19,44668.0,261.0,101.0,126.0,0.9980649352073669,0.0,0.9870770573616028,-98620.00346183777,-4397.000074386597,-0.4933978896588087,0.0,-4.772436246275902,-5.265834107995033
12,2020-07-26,25295.0,148.0,50.0,81.0,0.997638463973999,0.0,0.9820379018783569,-53952.00252532959,-2509.9998712539673,-0.437681470066309,0.0,-4.507479816675186,-4.945161268115044
13,2020-08-02,14043.0,83.0,30.0,30.0,0.9972169399261475,0.0,0.9737474918365479,-28657.00125694275,-1340.9999012947083,-0.3699162043631077,0.0,-4.152027890086174,-4.521944224834442
14,2020-08-09,7777.0,59.0,12.0,32.0,0.9970666766166687,0.0,0.9605002999305725,-14614.000916481018,-665.9999489784241,-0.288084358908236,0.0,-3.6425046622753143,-3.930589221417904
15,2020-08-16,4490.0,32.0,8.0,20.0,0.9971469044685364,0.0,0.939863383769989,-6836.999952793121,-315.99998474121094,-0.1960530411452055,0.0,-2.884272113442421,-3.080325275659561
16,2020-08-23,2347.0,14.0,5.0,12.0,0.9964424967765808,0.0,0.9102036356925964,-2346.999943256378,-99.99999776482582,-0.10213213972747326,0.0,-1.7344778403639793,-1.8366099335253239
