index,dates,ari,i_hosp_new,i_icu_new,d_new,p_w,p_s,p_l,o_0,o_1,o_2,o_3,o_4,o_5
0,2020-05-03,22466.0,90.0,34.0,61.0,0.06243475526571274,0.13599954545497894,0.03201432526111603,-88463.99784088135,-2410.999983549118,-675.8732795715332,-81.71217918395996,-493.4171676635742,-1251.002540588379
1,2020-05-10,13715.0,70.0,24.0,40.0,0.05689220502972603,0.3280990421772003,0.07633133232593536,-65997.99990653992,-1644.9999809265137,-638.0423069000244,-68.51330757141113,-461.80591583251953,-1168.361406326294
2,2020-05-17,10162.0,42.0,12.0,17.0,0.058549243956804276,0.3480429947376251,0.11996278911828995,-52283.00094604492,-1166.0000681877136,-596.6886043548584,-57.58522033691406,-429.5697212219238,-1083.843412399292
3,2020-05-24,8121.0,29.0,11.0,11.0,0.0631454661488533,0.34250232577323914,0.13944977521896362,-42120.9990978241,-894.0000832080841,-555.2863597869873,-48.3537483215332,-398.88250827789307,-1002.5225257873535
4,2020-05-31,6559.0,15.0,7.0,12.0,0.06517184525728226,0.3467649519443512,0.1537553369998932,-34000.00035762787,-716.0000503063202,-514.0602588653564,-39.27327632904053,-369.3711519241333,-922.7046203613281
5,2020-06-07,5490.0,18.0,2.0,7.0,0.06910295784473419,0.3564695715904236,0.16885057091712952,-27441.000938415527,-585.0000306963921,-473.02842140197754,-30.19165277481079,-340.4787302017212,-843.6987590789795
6,2020-06-14,4772.0,7.0,4.0,5.0,0.07873786240816116,0.3664042353630066,0.18879397213459015,-21951.00039243698,-483.0000177025795,-432.1533679962158,-21.216158866882324,-312.10808753967285,-765.4775619506836
7,2020-06-21,4355.0,7.0,3.0,3.0,0.09367206692695618,0.3737449645996094,0.2130616307258606,-17179.00037765503,-393.0000215768814,-391.5839910507202,-12.389421463012695,-284.33899879455566,-688.3124256134033
8,2020-06-28,3754.0,8.0,2.0,2.0,0.1166410818696022,0.37807247042655945,0.2443171590566635,-12824.000418186188,-327.0000219345093,-351.55911445617676,-3.6961516737937927,-257.3239803314209,-612.5792455673218
9,2020-07-05,2739.0,8.0,3.0,4.0,0.15086747705936432,0.0,0.2900257110595703,-9070.000052452087,-256.00001215934753,-312.3594284057617,0.0,-231.2443494796753,-543.6037731170654
10,2020-07-12,2251.0,7.0,0.0,3.0,0.19860194623470306,0.0,0.35357677936553955,-6330.999732017517,-191.00001081824303,-274.38933849334717,0.0,-206.43558502197266,-480.824933052063
11,2020-07-19,1916.0,8.0,1.0,3.0,0.14728116989135742,0.0,0.1550041288137436,-4079.9997746944427,-129.0000043809414,-238.17734718322754,0.0,-183.42865705490112,-421.60600662231445
12,2020-07-26,1093.0,3.0,0.0,1.0,0.07602944225072861,0.0,0.06348016858100891,-2163.9999002218246,-82.99999870359898,-202.24144458770752,0.0,-158.85438919067383,-361.0958433151245
13,2020-08-02,556.0,5.0,1.0,2.0,0.05598332732915878,0.0,0.057669080793857574,-1070.999912917614,-46.00000102072954,-163.70699405670166,0.0,-129.1194200515747,-292.82641410827637
14,2020-08-09,284.0,3.0,0.0,1.0,0.05281281843781471,0.0,0.04264126345515251,-514.9999633431435,-19.000000320374966,-123.00727367401123,0.0,-97.5220263004303,-220.52929401397705
15,2020-08-16,143.0,0.0,0.0,2.0,0.06261543184518814,0.0,0.021802566945552826,-230.9999894350767,-10.000000474974513,-81.74481391906738,0.0,-65.60032367706299,-147.34513521194458
16,2020-08-23,88.0,0.0,0.0,0.0,0.08056224882602692,0.0,0.009294448420405388,-88.00000068731606,-3.9999998989515007,-40.58336019515991,0.0,-33.09148550033569,-73.67484748363495
