index,dates,ari,i_hosp_new,i_icu_new,d_new,p_w,p_s,p_l,o_0,o_1,o_2,o_3,o_4,o_5
0,2020-05-03,51933.0,110.0,31.0,42.0,0.9710102677345276,0.9553756713867188,0.997194766998291,-8500296.020507812,-146149.99771118164,-35.94338297843933,-13.51787805557251,-43.099015951156616,-92.56028652191162
1,2020-05-10,228819.0,72.0,21.0,34.0,0.9557892680168152,0.9069366455078125,0.9546071887016296,-8448362.731933594,-145409.9941253662,-14.957480132579803,-5.143885612487793,-25.301724672317505,-45.403093099594116
2,2020-05-17,807397.0,128.0,48.0,36.0,0.9250898957252502,0.9015411734580994,0.9152728319168091,-8219543.45703125,-144454.99420166016,-13.441862165927887,-4.266292154788971,-24.621085822582245,-42.329241335392
3,2020-05-24,2029109.0,604.0,172.0,90.0,0.9152041077613831,0.9177021384239197,0.9093418717384338,-7412146.759033203,-141111.99378967285,-11.250198632478714,-3.120734989643097,-22.77819514274597,-37.14912861585617
4,2020-05-31,2641166.0,1735.0,658.0,267.0,0.9006232023239136,0.9212628602981567,0.8962903618812561,-5383037.948608398,-130150.9952545166,-8.997847139835358,-2.340608388185501,-20.817461609840393,-32.15591758489609
5,2020-06-07,1646387.0,3792.0,1318.0,737.0,0.9593784213066101,0.8843216300010681,0.9421750903129578,-2741872.024536133,-102870.99838256836,-7.3441945016384125,-1.9207623600959778,-19.42485421895981,-28.689811527729034
6,2020-06-14,695257.0,4118.0,1481.0,1126.0,0.9997976422309875,0.9466574192047119,0.9989713430404663,-1095485.019683838,-64172.99747467041,-5.90691864490509,-1.294998675584793,-18.161843717098236,-25.363762378692627
7,2020-06-21,263400.0,2690.0,955.0,1049.0,0.9999610185623169,0.9945924878120422,0.9996510744094849,-400228.02352905273,-31973.99854660034,-5.273575335741043,-0.42916808277368546,-17.47703105211258,-23.17977637052536
8,2020-06-28,91261.0,1401.0,517.0,724.0,0.9999740123748779,0.9978861212730408,0.9984356760978699,-136827.99339294434,-13571.999073028564,-5.269022285938263,-0.029767933301627636,-17.45806187391281,-22.756853699684143
9,2020-07-05,30154.0,607.0,195.0,360.0,0.9998383522033691,0.0,0.9694104194641113,-45566.99991226196,-5306.999683380127,-5.267759785056114,0.0,-17.433667182922363,-22.701428532600403
10,2020-07-12,10309.0,207.0,64.0,133.0,0.9992949962615967,0.0,0.9322828054428101,-15413.00117969513,-2017.0000195503235,-5.264507979154587,0.0,-17.031392455101013,-22.29590266942978
11,2020-07-19,3434.0,79.0,15.0,62.0,0.9974626302719116,0.0,0.8685464262962341,-5104.000121355057,-760.0000500679016,-5.2490826696157455,0.0,-15.671472251415253,-20.92055708169937
12,2020-07-26,1132.0,32.0,9.0,22.0,0.9993034601211548,0.0,0.9283289909362793,-1669.9999570846558,-274.00001883506775,-5.190540105104446,0.0,-12.87945806980133,-18.06999921798706
13,2020-08-02,343.0,12.0,4.0,15.0,0.9991063475608826,0.0,0.9786353707313538,-537.9999987781048,-92.00000204145908,-5.120586603879929,0.0,-9.737277776002884,-14.857864826917648
14,2020-08-09,130.0,3.0,2.0,2.0,0.9779295325279236,0.0,0.8900126814842224,-195.00000635161996,-38.00000064074993,-5.089626833796501,0.0,-8.24383944272995,-13.333466202020645
15,2020-08-16,50.0,0.0,0.0,0.0,0.9800332188606262,0.0,0.8900126814842224,-65.00000599771738,-17.999999690800905,-4.699967801570892,0.0,-6.507984548807144,-11.207952350378036
16,2020-08-23,15.0,0.0,2.0,1.0,0.7967605590820312,0.0,0.8900126814842224,-15.00000071246177,-1.9999999494757503,-3.8584135472774506,0.0,-3.254023566842079,-7.11243711411953
