index,dates,ari,i_hosp_new,i_icu_new,d_new,p_w,p_s,p_l,o_0,o_1,o_2,o_3,o_4,o_5
0,2020-05-03,39830.0,92.0,24.0,40.0,0.8192878365516663,0.11189340054988861,0.6951599717140198,-1605316.9250488281,-28471.004962921143,-610.5785369873047,-99.46703910827637,-95.49754858016968,-805.5430698394775
1,2020-05-10,82815.0,60.0,20.0,31.0,0.23563320934772491,0.09000550955533981,0.6639198660850525,-1565487.003326416,-27800.004482269287,-586.6421699523926,-86.03516578674316,-73.24938178062439,-745.9267044067383
2,2020-05-17,90412.0,111.0,28.0,34.0,0.09156136214733124,0.07177679240703583,0.6245908141136169,-1482672.0237731934,-26983.003616333008,-568.0235385894775,-73.52564811706543,-62.49551773071289,-704.0446758270264
3,2020-05-24,82970.0,149.0,53.0,35.0,0.023771850392222404,0.07199370115995407,0.6141278743743896,-1392259.9792480469,-25713.002681732178,-532.4888229370117,-60.94045639038086,-50.75441598892212,-644.1836929321289
4,2020-05-31,78788.0,184.0,58.0,59.0,0.036279913038015366,0.14318549633026123,0.8547114133834839,-1309290.0276184082,-24166.00227355957,-492.6766872406006,-48.42885971069336,-38.28951120376587,-579.3950414657593
5,2020-06-07,91668.0,146.0,53.0,68.0,0.017065437510609627,0.16145744919776917,0.8944122195243835,-1230502.0332336426,-22612.00189590454,-451.89929008483887,-36.520140171051025,-29.058551788330078,-517.4779844284058
6,2020-06-14,104081.0,139.0,40.0,57.0,0.006442319136112928,0.15425284206867218,0.8935671448707581,-1138833.999633789,-21112.000942230225,-411.62681579589844,-25.480527877807617,-24.951086938381195,-462.05843925476074
7,2020-06-21,114852.0,193.0,64.0,52.0,0.004776262678205967,0.1609266847372055,0.894553542137146,-1034753.0364990234,-19564.000368118286,-371.3216304779053,-14.792006015777588,-21.624328196048737,-407.7379560470581
8,2020-06-28,119512.0,188.0,76.0,60.0,0.005190535448491573,0.1761217713356018,0.901716411113739,-919900.9895324707,-17843.9998626709,-331.4103364944458,-4.360111355781555,-18.356318771839142,-354.1267776489258
9,2020-07-05,117374.0,216.0,79.0,78.0,0.005603961180895567,0.0,0.9052851796150208,-800389.0037536621,-15865.999460220337,-292.17610359191895,0.0,-15.260116755962372,-307.4362349510193
10,2020-07-12,114337.0,215.0,82.0,71.0,0.005756724625825882,0.0,0.9055445790290833,-683015.0127410889,-13716.999292373657,-253.65097522735596,0.0,-12.39057257771492,-266.0415530204773
11,2020-07-19,109469.0,224.0,78.0,79.0,0.005873936228454113,0.0,0.9111140370368958,-568677.9975891113,-11526.999473571777,-215.79666137695312,0.0,-9.63718593120575,-225.4338526725769
12,2020-07-26,103339.0,236.0,75.0,79.0,0.005816073622554541,0.0,0.9251524806022644,-459209.0129852295,-9369.999766349792,-178.5661220550537,0.0,-7.002854347229004,-185.56897401809692
13,2020-08-02,97300.0,215.0,72.0,76.0,0.005552970804274082,0.0,0.9454478621482849,-355870.00846862793,-7312.999963760376,-141.9081449508667,0.0,-4.668014496564865,-146.576167345047
14,2020-08-09,91613.0,174.0,81.0,76.0,0.005209827795624733,0.0,0.9641677141189575,-258570.00350952148,-5347.999930381775,-105.76527118682861,0.0,-2.830047532916069,-108.59532594680786
15,2020-08-16,85836.0,205.0,74.0,88.0,0.0048627471551299095,0.0,0.9735578894615173,-166956.9969177246,-3422.9999780654907,-70.09047269821167,0.0,-1.5542874112725258,-71.6447639465332
16,2020-08-23,81121.0,168.0,71.0,57.0,0.005216761492192745,0.0,0.9744572043418884,-81120.99766731262,-1640.00004529953,-34.84363555908203,0.0,-0.6943515967577696,-35.53798735141754
