index,dates,ari,i_hosp_new,i_icu_new,d_new,p_w,p_s,p_l,o_0,o_1,o_2,o_3,o_4,o_5
0,2020-05-03,22799.0,85.0,38.0,53.0,0.05446415767073631,0.1181650161743164,0.014062774367630482,-72828.99618148804,-2224.999964237213,-642.7688121795654,-93.35568428039551,-434.47861671447754,-1170.6032180786133
1,2020-05-10,13030.0,71.0,27.0,35.0,0.05897499993443489,0.21892932057380676,0.07773017138242722,-50029.999017715454,-1485.999971628189,-604.8603534698486,-80.09271621704102,-402.6762008666992,-1087.6293182373047
2,2020-05-17,8705.0,37.0,8.0,20.0,0.04127231985330582,0.21200360357761383,0.07328779995441437,-37000.00047683716,-989.999994635582,-563.4161472320557,-68.41479778289795,-370.1724052429199,-1002.0034217834473
3,2020-05-24,5726.0,13.0,6.0,18.0,0.043175000697374344,0.1882822960615158,0.08782582730054855,-28295.00138759613,-706.9999724626541,-521.8160629272461,-57.53434658050537,-338.90373706817627,-918.2542133331299
4,2020-05-31,3865.0,20.0,5.0,10.0,0.05050090700387955,0.16847915947437286,0.12192579358816147,-22569.000720977783,-507.9999938607216,-479.8396587371826,-46.47800922393799,-307.78746604919434,-834.1052055358887
5,2020-06-07,2775.0,16.0,5.0,7.0,0.06591280549764633,0.16436606645584106,0.18550799787044525,-18704.00160551071,-414.000004529953,-438.07239532470703,-35.1288366317749,-277.46219635009766,-750.6635284423828
6,2020-06-14,2173.0,5.0,3.0,4.0,0.042680446058511734,0.2794753611087799,0.28388357162475586,-15929.001569747925,-346.0000082850456,-396.793270111084,-23.60591411590576,-248.72229099273682,-669.1215419769287
7,2020-06-21,2049.0,6.0,1.0,2.0,0.21688657999038696,0.4063338041305542,0.2946105897426605,-13756.000995635986,-289.0000119805336,-355.4901599884033,-12.726315259933472,-222.6330041885376,-590.8495330810547
8,2020-06-28,2136.0,2.0,1.0,1.0,0.1609814316034317,0.41353839635849,0.328190416097641,-11707.000434398651,-254.0000155568123,-316.8191194534302,-3.511114716529846,-198.6264944076538,-518.9567613601685
9,2020-07-05,1713.0,9.0,1.0,4.0,0.2157929688692093,0.0,0.3553672730922699,-9571.000188589096,-215.00000730156898,-281.5429210662842,0.0,-175.31484365463257,-456.85778617858887
10,2020-07-12,1634.0,2.0,2.0,2.0,0.20898154377937317,0.0,0.35109588503837585,-7857.999950647354,-174.00000244379044,-245.87109088897705,0.0,-153.0516266822815,-398.922758102417
11,2020-07-19,1508.0,5.0,1.0,1.0,0.20204812288284302,0.0,0.3473432958126068,-6224.000081419945,-139.999995008111,-211.47098541259766,0.0,-131.26428127288818,-342.73528575897217
12,2020-07-26,1241.0,2.0,2.0,0.0,0.19590488076210022,0.0,0.34599560499191284,-4715.999960899353,-110.99999770522118,-176.78014039993286,0.0,-109.34600830078125,-286.1261487007141
13,2020-08-02,1089.0,0.0,2.0,0.0,0.19095589220523834,0.0,0.3474811017513275,-3474.999964237213,-86.0000029206276,-141.8088436126709,0.0,-87.34033107757568,-229.14918422698975
14,2020-08-09,932.0,3.0,0.0,2.0,0.1871088296175003,0.0,0.3509995639324188,-2386.000007390976,-62.00000178068876,-106.59749507904053,0.0,-65.33355116844177,-171.93105697631836
15,2020-08-16,800.0,4.0,1.0,1.0,0.18421921133995056,0.0,0.35546353459358215,-1453.9999887347221,-39.00000127032399,-71.19580507278442,0.0,-43.409186601638794,-114.6049976348877
16,2020-08-23,654.0,2.0,0.0,2.0,0.18246248364448547,0.0,0.36112216114997864,-653.9999973028898,-19.000000320374966,-35.64853370189667,0.0,-21.61971479654312,-57.2682523727417
