index,dates,ari,i_hosp_new,i_icu_new,d_new,p_w,p_s,p_l,o_0,o_1,o_2,o_3,o_4,o_5
0,2020-05-03,49518.0,105.0,32.0,51.0,0.9142011404037476,0.874347984790802,0.914277970790863,-2328289.9856567383,-39017.99917221069,-253.1691551208496,-81.23612403869629,-369.8748826980591,-704.280195236206
1,2020-05-10,187355.0,69.0,28.0,30.0,0.8737086653709412,0.7208818197250366,0.8236463069915771,-2278771.97265625,-38304.99887466431,-231.15005493164062,-72.39834308624268,-350.90949535369873,-654.4579267501831
2,2020-05-17,327095.0,137.0,46.0,36.0,0.0010659233666956425,0.006508803926408291,0.06964686512947083,-2091416.9311523438,-37383.999824523926,-226.73094272613525,-69.82073783874512,-346.8020439147949,-643.3537530899048
3,2020-05-24,172928.0,385.0,134.0,74.0,0.6439971923828125,0.0023419386707246304,0.07691224664449692,-1764321.8994140625,-34860.00061035156,-206.9162368774414,-62.51582145690918,-331.42714500427246,-600.8592367172241
4,2020-05-31,208560.0,407.0,139.0,126.0,0.6193110346794128,0.001819174038246274,0.0691409558057785,-1591393.9476013184,-30778.99932861328,-178.26452255249023,-50.358314514160156,-303.26833724975586,-531.8912315368652
5,2020-06-07,209994.0,361.0,119.0,124.0,0.5996523499488831,0.00209937640465796,0.06893686205148697,-1382833.9576721191,-27272.000312805176,-164.42079544067383,-38.47776174545288,-276.05433464050293,-478.95296573638916
6,2020-06-14,199155.0,341.0,130.0,115.0,0.5849154591560364,0.0025624085683375597,0.07276462763547897,-1172839.9276733398,-23856.000900268555,-150.3002405166626,-26.909668445587158,-249.6504783630371,-426.8604326248169
7,2020-06-21,181821.0,382.0,131.0,130.0,0.5749943852424622,0.0031154246535152197,0.07837037742137909,-973684.9784851074,-20255.000591278076,-136.07724905014038,-15.6425142288208,-224.14584159851074,-375.8656311035156
8,2020-06-28,160993.0,366.0,142.0,129.0,0.5689714550971985,0.0037513680290430784,0.08452294766902924,-791864.013671875,-16754.000186920166,-121.880042552948,-4.642167389392853,-199.50146675109863,-326.02370738983154
9,2020-07-05,138136.0,307.0,108.0,119.0,0.5651268362998962,0.0,0.09030235558748245,-630871.0098266602,-13629.000186920166,-107.79531002044678,0.0,-175.61949491500854,-283.41482162475586
10,2020-07-12,117225.0,294.0,104.0,99.0,0.5628803968429565,0.0,0.09542173892259598,-492735.0044250488,-10763.00024986267,-93.8591480255127,0.0,-152.38012075424194,-246.239275932312
11,2020-07-19,97439.0,238.0,87.0,68.0,0.56266188621521,0.0,0.10024410486221313,-375509.97734069824,-8323.000073432922,-80.07163405418396,0.0,-129.66593503952026,-209.73756551742554
12,2020-07-26,80366.0,196.0,52.0,77.0,0.5639005303382874,0.0,0.10500050336122513,-278070.9743499756,-6283.000111579895,-66.43518805503845,0.0,-107.37707614898682,-173.81226181983948
13,2020-08-02,66321.0,173.0,60.0,53.0,0.5647277235984802,0.0,0.10943378508090973,-197704.98275756836,-4516.000151634216,-52.961647510528564,0.0,-85.44096946716309,-138.40261816978455
14,2020-08-09,53086.0,143.0,44.0,52.0,0.5634613037109375,0.0,0.11266312748193741,-131383.99124145508,-3086.000084877014,-39.63810205459595,0.0,-63.80072832107544,-103.43883275985718
15,2020-08-16,43309.0,132.0,32.0,32.0,0.561076283454895,0.0,0.11336343735456467,-78297.9965209961,-1800.999939441681,-26.402342319488525,0.0,-42.396122217178345,-68.79846811294556
16,2020-08-23,34989.0,87.0,38.0,37.0,0.5628455281257629,0.0,0.11266644299030304,-34988.999366760254,-798.9999651908875,-13.183492422103882,0.0,-21.153341233730316,-34.3368324637413
