index,dates,ari,i_hosp_new,i_icu_new,d_new,p_w,p_s,p_l,o_0,o_1,o_2,o_3,o_4,o_5
0,2020-05-03,41889.0,98.0,35.0,50.0,0.8445613384246826,0.12003009766340256,0.7316259741783142,-1731896.0189819336,-31608.996391296387,-590.2502059936523,-97.64986038208008,-84.831702709198,-772.7318000793457
1,2020-05-10,89799.0,68.0,14.0,26.0,0.2471117526292801,0.07439155876636505,0.7070152163505554,-1690007.0190429688,-30839.996337890625,-567.1175479888916,-84.47837829589844,-63.410747051239014,-715.0066709518433
2,2020-05-17,102756.0,119.0,39.0,34.0,0.12163114547729492,0.05695079639554024,0.7333576083183289,-1600208.0917358398,-29990.997314453125,-549.625825881958,-72.15042114257812,-54.12420034408569,-675.9004497528076
3,2020-05-24,104063.0,180.0,54.0,37.0,0.014320166781544685,0.06537164002656937,0.7226725816726685,-1497452.0683288574,-28584.99765396118,-515.510082244873,-59.586591720581055,-44.88999545574188,-619.9866914749146
4,2020-05-31,102682.0,220.0,68.0,59.0,0.029789598658680916,0.13086117804050446,0.8758834004402161,-1393389.0342712402,-26775.996685028076,-477.06003189086914,-47.191386222839355,-36.1666738986969,-560.4181337356567
5,2020-06-07,115004.0,212.0,67.0,75.0,0.013024589978158474,0.15351036190986633,0.901505708694458,-1290707.015991211,-24738.996028900146,-436.91015243530273,-35.47374248504639,-29.424700140953064,-501.8086051940918
6,2020-06-14,126685.0,223.0,88.0,60.0,0.0054344842210412025,0.14898350834846497,0.89593106508255,-1175703.0487060547,-22844.996452331543,-397.5048065185547,-24.639029502868652,-25.902897119522095,-448.04675102233887
7,2020-06-21,134887.0,197.0,88.0,68.0,0.0046906787902116776,0.16034112870693207,0.8967114090919495,-1049018.0015563965,-20840.99769592285,-358.30986499786377,-14.242933988571167,-22.83429652452469,-395.3870916366577
8,2020-06-28,137157.0,254.0,74.0,82.0,0.005246164742857218,0.17862433195114136,0.902768611907959,-914130.973815918,-18584.998846054077,-319.69282627105713,-4.17998880147934,-19.744859635829926,-343.6176896095276
9,2020-07-05,130313.0,272.0,89.0,88.0,0.005702677648514509,0.0,0.904505729675293,-776974.0104675293,-16187.999248504639,-281.8490982055664,0.0,-16.81113988161087,-298.66024017333984
10,2020-07-12,121574.0,255.0,88.0,79.0,0.005876161623746157,0.0,0.9018566608428955,-646660.9954833984,-13754.99963760376,-244.75946426391602,0.0,-14.059549570083618,-258.81900787353516
11,2020-07-19,111714.0,259.0,75.0,85.0,0.006020179484039545,0.0,0.9033806920051575,-525086.9750976562,-11344.000101089478,-208.35142135620117,0.0,-11.358015239238739,-219.70943927764893
12,2020-07-26,101202.0,205.0,99.0,95.0,0.005913254804909229,0.0,0.9126862287521362,-413372.9934692383,-9060.999751091003,-172.5459098815918,0.0,-8.678682148456573,-181.22458934783936
13,2020-08-02,90475.0,216.0,66.0,78.0,0.0054654888808727264,0.0,0.9288371801376343,-312170.98236083984,-6906.999945640564,-137.26816177368164,0.0,-6.170349195599556,-143.43851923942566
14,2020-08-09,81806.0,162.0,72.0,74.0,0.004666752647608519,0.0,0.9448866248130798,-221695.99533081055,-4925.000071525574,-102.43765115737915,0.0,-4.021168500185013,-106.45882844924927
15,2020-08-16,73647.0,185.0,64.0,76.0,0.00366733456030488,0.0,0.956520676612854,-139890.0032043457,-3093.999922275543,-67.98301339149475,0.0,-2.3225251585245132,-70.30553698539734
16,2020-08-23,66243.0,152.0,51.0,69.0,0.0034579753410071135,0.0,0.9667590856552124,-66242.99883842468,-1450.9999752044678,-33.848923444747925,0.0,-1.012338139116764,-34.861260652542114
