,budget,env,id,name,o_0,o_1,o_5
440,4.0,ode,2741rtwe,snowy-wildflower-2110,-318248.48651885986,-6176.992654800415,-996.830234527588
441,4.0,ode,2741rtwe,snowy-wildflower-2110,-4976433.563232422,-79702.2294998169,-399.2017936706543
442,4.0,ode,2741rtwe,snowy-wildflower-2110,-2007703.971862793,-34087.419509887695,-726.2626361846924
443,4.0,ode,2741rtwe,snowy-wildflower-2110,-79778.78451347351,-2439.2348527908325,-1098.3734321594238
444,4.0,ode,2741rtwe,snowy-wildflower-2110,-2746823.8830566406,-46963.14811706543,-627.4858045578003
445,4.0,ode,2741rtwe,snowy-wildflower-2110,-4475047.302246094,-68646.75521850586,-469.22547340393066
446,4.0,ode,2741rtwe,snowy-wildflower-2110,-766467.5712585449,-13659.274578094482,-912.9910755157472
447,4.0,ode,2741rtwe,snowy-wildflower-2110,-1145968.7232971191,-20200.135707855225,-845.6426525115967
448,4.0,ode,2741rtwe,snowy-wildflower-2110,-7891932.678222656,-133560.85777282715,-97.46170163154602
449,4.0,ode,2741rtwe,snowy-wildflower-2110,-56711.75718307495,-2038.574814796448,-1154.282341003418
450,4.0,ode,2741rtwe,snowy-wildflower-2110,-1760185.6231689453,-29949.181079864506,-767.2695350646973
451,4.0,ode,2741rtwe,snowy-wildflower-2110,-5412157.440185547,-88797.12104797363,-351.92959785461426
452,4.0,ode,2741rtwe,snowy-wildflower-2110,-4998490.905761719,-77627.59685516357,-420.3260564804077
453,4.0,ode,2741rtwe,snowy-wildflower-2110,-7913933.563232422,-131088.91487121582,-106.97394132614136
454,4.0,ode,2741rtwe,snowy-wildflower-2110,-1057090.2824401855,-18587.262630462646,-868.386926651001
455,4.0,ode,2741rtwe,snowy-wildflower-2110,-6764335.632324219,-107416.18156433104,-162.24904417991638
456,4.0,ode,2741rtwe,snowy-wildflower-2110,-488815.4983520508,-9329.227805137634,-943.6795806884766
457,4.0,ode,2741rtwe,snowy-wildflower-2110,-42437.41035461426,-1826.8728256225584,-1291.640453338623
458,4.0,ode,2741rtwe,snowy-wildflower-2110,-484152.6985168457,-9004.050493240356,-968.16819190979
459,4.0,ode,2741rtwe,snowy-wildflower-2110,-415199.5658874512,-7943.985462188721,-976.6504096984864
460,4.0,ode,2741rtwe,snowy-wildflower-2110,-5157996.74987793,-79056.3440322876,-401.601791381836
461,4.0,ode,2741rtwe,snowy-wildflower-2110,-673998.7373352051,-12046.103477478027,-935.9174823760986
462,4.0,ode,2741rtwe,snowy-wildflower-2110,-48731.72044754028,-1888.9915943145752,-1246.0190391540527
463,4.0,ode,2741rtwe,snowy-wildflower-2110,-6310950.85144043,-102004.13703918456,-266.11809253692627
464,4.0,ode,2741rtwe,snowy-wildflower-2110,-352702.260017395,-6876.897811889648,-984.7776317596436
465,4.0,ode,2741rtwe,snowy-wildflower-2110,-47100.02541542053,-1889.420747756958,-1218.5151958465576
466,4.0,ode,2741rtwe,snowy-wildflower-2110,-5068460.845947266,-82515.31600952148,-382.6759099960327
467,4.0,ode,2741rtwe,snowy-wildflower-2110,-57961.72022819519,-2060.2011680603027,-1127.246618270874
468,4.0,ode,2741rtwe,snowy-wildflower-2110,-746581.1252593994,-13685.266971588137,-908.1478214263916
469,4.0,ode,2741rtwe,snowy-wildflower-2110,-72832.07178115845,-2291.353791952133,-1105.2942180633545
470,4.0,ode,2741rtwe,snowy-wildflower-2110,-302019.3099975586,-6188.838481903076,-995.48020362854
471,4.0,ode,2741rtwe,snowy-wildflower-2110,-138042.0684814453,-3366.982638835907,-1057.5499534606934
472,4.0,ode,2741rtwe,snowy-wildflower-2110,-1842060.8520507808,-32223.93035888672,-729.8451232910156
473,4.0,ode,2741rtwe,snowy-wildflower-2110,-66674.79276657104,-2174.9433875083923,-1116.6056728363037
474,4.0,ode,2741rtwe,snowy-wildflower-2110,-1221884.059906006,-21395.6618309021,-834.3492221832275
475,4.0,ode,2741rtwe,snowy-wildflower-2110,-333421.56410217285,-6495.911478996277,-995.367078781128
