,budget,env,id,name,o_0,o_1,o_5
66,,ode,15bxse3r,major-sun-2232,-7255172.7294921875,-119059.98229980467,-143.2810091972351
67,,ode,15bxse3r,major-sun-2232,-7208370.971679687,-117410.03036499023,-146.85052514076233
68,,ode,15bxse3r,major-sun-2232,-4618771.362304688,-67315.75965881348,-406.95337772369385
69,,ode,15bxse3r,major-sun-2232,-6464111.328125,-100977.21099853516,-199.5908546447754
70,,ode,15bxse3r,major-sun-2232,-5008994.293212891,-72821.88415527344,-334.78217124938965
71,,ode,15bxse3r,major-sun-2232,-4156188.96484375,-65086.2455368042,-493.3088779449463
72,,ode,15bxse3r,major-sun-2232,-7251571.655273437,-119407.09114074708,-137.50139594078064
73,,ode,15bxse3r,major-sun-2232,-2657423.4008789062,-40720.98731994629,-683.277382850647
74,,ode,15bxse3r,major-sun-2232,-5191072.082519531,-74982.17105865479,-325.7731890678406
75,,ode,15bxse3r,major-sun-2232,-5571104.049682617,-82934.8373413086,-273.15043687820435
76,,ode,15bxse3r,major-sun-2232,-1348716.2590026855,-22193.739414215088,-829.3923282623291
77,,ode,15bxse3r,major-sun-2232,-3535264.9688720703,-51946.9690322876,-579.9802350997925
78,,ode,15bxse3r,major-sun-2232,-2982794.952392578,-45246.30069732666,-633.3574390411377
79,,ode,15bxse3r,major-sun-2232,-6270280.075073242,-96562.21389770508,-216.89080238342285
80,,ode,15bxse3r,major-sun-2232,-6110369.110107422,-93027.80151367188,-232.32075691223145
81,,ode,15bxse3r,major-sun-2232,-7684671.020507812,-128551.06353759766,-122.94585227966309
82,,ode,15bxse3r,major-sun-2232,-8215224.456787109,-140619.6117401123,-95.77638387680054
83,,ode,15bxse3r,major-sun-2232,-605753.3740997314,-11234.006881713867,-905.801124572754
84,,ode,15bxse3r,major-sun-2232,-2847373.580932617,-41193.86672973633,-657.7073907852173
85,,ode,15bxse3r,major-sun-2232,-6465906.524658203,-102229.4807434082,-196.48816108703613
86,,ode,15bxse3r,major-sun-2232,-6560557.556152344,-102096.6339111328,-197.5431489944458
87,,ode,15bxse3r,major-sun-2232,-5328377.914428711,-77770.56217193604,-296.60837173461914
88,,ode,15bxse3r,major-sun-2232,-5672172.546386719,-84345.5696105957,-259.7799038887024
89,,ode,15bxse3r,major-sun-2232,-5605723.190307617,-83286.24725341797,-265.95370531082153
90,,ode,15bxse3r,major-sun-2232,-5360935.592651367,-78643.89896392822,-296.13102436065674
91,,ode,15bxse3r,major-sun-2232,-6033855.819702148,-91600.16059875488,-232.81625747680664
92,,ode,15bxse3r,major-sun-2232,-7220464.324951172,-116799.5834350586,-152.73180484771729
93,,ode,15bxse3r,major-sun-2232,-6776582.336425781,-110539.61753845216,-171.6562271118164
94,,ode,15bxse3r,major-sun-2232,-5177958.297729492,-75943.88961791992,-314.55904483795166
95,,ode,15bxse3r,major-sun-2232,-8092826.843261719,-137859.9452972412,-107.69326686859132
96,,ode,15bxse3r,major-sun-2232,-4200120.162963867,-66667.86670684814,-488.9892339706421
97,,ode,15bxse3r,major-sun-2232,-8175286.102294922,-139231.0619354248,-99.63019251823424
98,,ode,15bxse3r,major-sun-2232,-6200061.798095703,-97833.8623046875,-212.8766512870789
99,,ode,15bxse3r,major-sun-2232,-409931.4689636231,-7530.210018157959,-939.5144748687744
100,,ode,15bxse3r,major-sun-2232,-5480596.542358398,-80380.54466247559,-281.7994236946106
101,,ode,15bxse3r,major-sun-2232,-359762.21561431885,-6991.376280784607,-958.6757469177246
102,,ode,15bxse3r,major-sun-2232,-6148905.944824219,-94601.05895996094,-222.24818229675293
103,,ode,15bxse3r,major-sun-2232,-5213360.214233398,-76453.9384841919,-311.46952629089355
104,,ode,15bxse3r,major-sun-2232,-6425830.841064453,-101459.31243896484,-199.21221256256104
105,,ode,15bxse3r,major-sun-2232,-6977095.031738281,-111858.83522033691,-159.80704307556152
106,,ode,15bxse3r,major-sun-2232,-3401633.834838867,-51110.56327819824,-584.045991897583
107,,ode,15bxse3r,major-sun-2232,-2131097.0306396484,-35184.26179885864,-754.5384407043457
108,,ode,15bxse3r,major-sun-2232,-1494813.632965088,-23748.65770339966,-809.7213935852051
109,,ode,15bxse3r,major-sun-2232,-5443166.732788086,-79656.41021728516,-286.7848777770996
110,,ode,15bxse3r,major-sun-2232,-5994287.872314453,-90686.95068359376,-236.84324026107788
111,,ode,15bxse3r,major-sun-2232,-2491872.215270996,-38347.43022918701,-702.0916414260864
112,,ode,15bxse3r,major-sun-2232,-5341505.813598633,-79428.8682937622,-292.66024589538574
113,,ode,15bxse3r,major-sun-2232,-6073687.744140625,-93473.22463989258,-223.2190561294556
114,,ode,15bxse3r,major-sun-2232,-5160592.269897461,-75207.50999450684,-321.5806174278259
115,,ode,15bxse3r,major-sun-2232,-1722484.7793579102,-27183.845043182373,-789.5161628723145
116,,ode,15bxse3r,major-sun-2232,-6568141.937255859,-102401.95274353027,-186.01947784423828
117,,ode,15bxse3r,major-sun-2232,-6260178.375244141,-97154.60777282716,-216.22143030166623
118,,ode,15bxse3r,major-sun-2232,-5500360.870361328,-81436.13815307617,-278.2229232788086
119,,ode,15bxse3r,major-sun-2232,-6174822.235107422,-94772.19581604004,-222.03575134277344
120,,ode,15bxse3r,major-sun-2232,-3256970.596313477,-48296.08917236328,-589.7099590301514
121,,ode,15bxse3r,major-sun-2232,-7824921.417236328,-131386.26098632812,-118.63569259643556
122,,ode,15bxse3r,major-sun-2232,-6642359.161376953,-104713.32550048828,-174.18988466262817
