,o_0,o_1,o_2,o_3,o_4,o_5
40,-5477782.05871582,-86476.27830505371,-49.79352355003357,-37.40419149398804,-279.768967628479,-366.9666624069214
41,-464557.50465393066,-8768.254518508911,-642.172384262085,-97.93863296508789,-230.4323673248291,-970.543384552002
42,-4633149.719238281,-71214.78080749512,-96.44655585289001,-39.64038372039795,-315.3071880340576,-451.3941478729248
43,-7012739.562988281,-116023.55003356934,-45.44004201889038,-32.34520673751831,-82.93654322624207,-160.72179436683655
44,-1654742.8131103516,-27977.781295776367,-472.759485244751,-71.30849838256836,-225.97496509552002,-770.0429821014404
45,-4639747.619628906,-78630.22804260254,-158.36443901062012,-64.74734783172607,-185.3188157081604,-408.43060970306396
46,-1386669.921875,-23725.98171234131,-433.3700656890869,-77.91261672973633,-308.29474925994873,-819.5775032043457
47,-3838669.204711914,-64957.77130126953,-345.32997608184814,-51.742238998413086,-79.00681495666504,-476.0789680480957
48,-741707.9925537109,-13241.567611694336,-628.9645671844482,-93.63988876342773,-190.84608554840088,-913.4505271911621
49,-263978.09982299805,-5445.452928543091,-589.9809837341309,-104.3088436126709,-317.66088008880615,-1011.9507694244385
50,-55801.039934158325,-2017.5549387931824,-549.3664741516113,-94.97091293334961,-522.4980354309082,-1166.8353366851807
51,-990512.4664306641,-17232.834100723267,-406.6734313964844,-88.94328117370605,-391.5024757385254,-887.1191310882568
52,-126182.94954299927,-3183.1583380699158,-647.3962783813477,-99.01118278503418,-323.8230228424072,-1070.2305793762207
53,-97421.88453674316,-2684.1840147972107,-549.2434978485107,-101.90074920654297,-432.3546886444092,-1083.4989738464355
54,-3539019.012451172,-56580.400466918945,-180.32264709472656,-46.582040786743164,-318.2957649230957,-545.2004814147949
55,-8042988.586425781,-132835.2165222168,-33.48809778690338,-15.02436637878418,-51.36579871177673,-99.87826466560364
56,-3169176.67388916,-55597.734451293945,-413.23461532592773,-63.53610038757324,-95.22331953048706,-571.993989944458
57,-45698.03476333618,-1877.6780366897583,-657.3875427246094,-111.79385185241699,-479.1128158569336,-1248.2942390441895
58,-1376088.523864746,-24052.99425125122,-533.9141368865967,-79.37025547027588,-198.0064868927002,-811.2908935546875
59,-3558003.616333008,-60306.11038208008,-295.8615779876709,-60.51228046417236,-163.27722072601318,-519.6510887145996
60,-2338303.1845092773,-38469.87247467041,-439.60628509521484,-55.73657035827637,-182.9548716545105,-678.2977437973022
61,-3232256.6986083984,-54284.95407104492,-348.0704069137573,-57.56428241729736,-169.7130560874939,-575.3477382659912
62,-1119028.5682678223,-19046.316146850586,-599.0730285644531,-92.8111457824707,-174.75521564483643,-866.6394138336182
63,-714953.2794952393,-12644.569873809814,-615.5524730682373,-94.74879264831543,-210.406494140625,-920.7078552246094
64,-259290.17066955566,-5394.792556762695,-594.0392971038818,-96.962890625,-321.4507818222046,-1012.4529647827148
65,-1585694.1223144531,-27485.84508895874,-481.3864231109619,-77.98783302307129,-233.76774787902832,-793.1419944763184
66,-6018616.86706543,-92054.90112304688,-53.465574979782104,-28.94691228866577,-265.63076972961426,-348.043270111084
67,-5425650.0244140625,-87845.04890441895,-67.13360548019409,-45.87963104248047,-249.54464435577393,-362.5578832626343
68,-8083602.142333984,-137180.92918395996,-33.44079256057739,-16.55869960784912,-33.656829595565796,-83.65631818771362
69,-56968.2776927948,-2022.794634103775,-699.7084617614746,-94.64914321899414,-362.8572702407837,-1157.2150039672852
70,-5575590.133666992,-92979.48837280273,-151.27264261245728,-46.72798156738281,-87.64573335647583,-285.646333694458
71,-166915.50016403198,-3865.6768202781677,-683.2509994506836,-105.68711280822754,-244.27790641784668,-1033.2159233093262
72,-114582.52668380737,-2934.178113937378,-662.9007816314697,-95.71182250976562,-311.6508960723877,-1070.2637100219727
73,-2616660.1181030273,-44711.42292022705,-330.5262804031372,-76.69939041137695,-230.69379329681396,-637.919511795044
74,-4873184.2041015625,-73448.89163970947,-95.7339882850647,-31.87140941619873,-298.797345161438,-426.4027404785156
75,-1360879.6119689941,-23546.981811523438,-501.365327835083,-76.73420906066895,-252.70538330078125,-830.8048439025879
76,-7276151.275634766,-119953.3462524414,-74.00215864181519,-18.512091636657715,-67.72434115409851,-160.23858904838562
77,-42157.381772994995,-1820.1488256454468,-654.9749374389648,-112.12977409362793,-547.1488952636719,-1314.2536640167236
78,-4713890.075683594,-75402.76527404785,-296.0686445236206,-42.420687675476074,-82.89600610733032,-421.385293006897
79,-2554601.8600463867,-42516.16954803467,-205.99820613861084,-72.36769676208496,-367.9697275161743,-646.3356399536133
80,-40649.50346946716,-1795.4307794570923,-732.4596405029297,-112.12457656860352,-539.4941806793213,-1384.0783882141113
81,-820517.9214477539,-15166.701078414917,-571.5982437133789,-107.85246849060059,-211.130952835083,-890.5817127227783
82,-3695690.91796875,-58050.36544799805,-182.94140100479126,-42.330989837646484,-316.0245895385742,-541.2969446182251
83,-1555462.646484375,-27299.203872680664,-417.2228813171387,-83.3087158203125,-293.3915138244629,-793.9230537414551
84,-651578.1879425049,-11598.732471466064,-498.5964298248291,-100.81231117248535,-339.59951400756836,-939.0081596374512
85,-6593067.932128906,-102519.16885375977,-65.20057916641235,-18.631246089935303,-149.86988306045532,-233.7017297744751
86,-79693.74656677246,-2437.1322989463806,-715.8851623535156,-99.00349617004395,-286.50786876678467,-1101.3964748382568
87,-8533452.606201172,-146740.47470092773,-34.753698110580444,-13.78177285194397,-27.362385392189026,-75.89785158634186
