index,dates,ari,i_hosp_new,i_icu_new,d_new,p_w,p_s,p_l,o_0,o_1,o_2,o_3,o_4,o_5
0,2020-05-03,52235.0,81.0,38.0,46.0,0.967470109462738,0.9405571222305298,0.9708033800125122,-5997774.887084961,-104313.00163269043,-268.5213327407837,-43.33418369293213,-67.95158386230469,-379.8071479797363
1,2020-05-10,226537.0,71.0,31.0,29.0,0.9569320678710938,0.9493778944015503,0.9525320529937744,-5945539.855957031,-103514.00375366211,-247.66154289245605,-34.95532751083374,-49.93654489517212,-332.5534701347351
2,2020-05-17,778627.0,169.0,61.0,31.0,0.8255001902580261,0.9297155737876892,0.896684467792511,-5719002.914428711,-102511.00540161133,-246.09155654907227,-34.206366539001465,-48.72655272483826,-329.0245199203491
3,2020-05-24,1515430.0,577.0,182.0,104.0,0.3403303027153015,0.24296754598617554,0.833381712436676,-4940375.900268555,-99237.00332641602,-242.39182472229004,-33.50965976715088,-46.63340747356415,-322.5349473953247
4,2020-05-31,1312277.0,1589.0,532.0,266.0,0.3268769681453705,0.06308659166097641,0.833381712436676,-3424945.831298828,-88938.99917602539,-231.49034976959229,-30.59770107269287,-43.633586168289185,-305.7216811180115
5,2020-06-07,894783.0,2349.0,874.0,566.0,0.3070042133331299,0.06734583526849747,0.850283682346344,-2112668.991088867,-68600.00133514404,-215.6773805618286,-24.899625778198242,-40.54115414619446,-281.1181855201721
6,2020-06-14,541088.0,2241.0,810.0,710.0,0.3291582763195038,0.07009673118591309,0.8611106276512146,-1217885.971069336,-45850.00038146973,-200.44314861297607,-18.43001365661621,-37.76668906211853,-256.63987398147583
7,2020-06-21,310738.0,1627.0,523.0,612.0,0.3585768938064575,0.063399538397789,0.8634533286094666,-676798.0098724365,-27933.00151824951,-184.39500331878662,-11.311144828796387,-35.128846764564514,-230.83500623703003
8,2020-06-28,172046.0,959.0,350.0,445.0,0.37336400151252747,0.04955040663480759,0.866879940032959,-366060.0185394287,-16066.00046157837,-167.8993582725525,-3.5157009959220886,-32.46362507343292,-203.87869834899902
9,2020-07-05,92936.0,635.0,188.0,284.0,0.3693241477012634,0.0,0.867915153503418,-194014.00089263916,-8855.000138282776,-151.1945128440857,0.0,-29.72962260246277,-180.92413902282715
10,2020-07-12,49508.0,338.0,148.0,168.0,0.34619972109794617,0.0,0.864328920841217,-101077.99768447876,-4773.000180721283,-134.1561794281006,0.0,-26.96537971496582,-161.1215615272522
11,2020-07-19,26071.0,195.0,62.0,88.0,0.3071473240852356,0.0,0.8559322953224182,-51569.998264312744,-2537.0001792907715,-116.47844314575195,0.0,-24.13490265607834,-140.6133484840393
12,2020-07-26,13117.0,92.0,35.0,54.0,0.3071473240852356,0.0,0.8426074385643005,-25499.001145362854,-1321.0000097751617,-97.79512882232666,0.0,-21.15825265645981,-118.95338416099548
13,2020-08-02,6606.0,62.0,17.0,40.0,0.3071473240852356,0.0,0.8233933448791504,-12381.9999396801,-687.0000064373016,-78.37793231010437,0.0,-17.941465973854065,-96.31940245628357
14,2020-08-09,3271.0,24.0,10.0,12.0,0.3071473240852356,0.0,0.7967595458030701,-5776.000022888184,-312.00001016259193,-58.90652537345886,0.0,-14.375580847263336,-73.28210771083832
15,2020-08-16,1703.0,6.0,2.0,8.0,0.3071473240852356,0.0,0.760650634765625,-2504.9999356269836,-149.00000765919685,-39.40722644329071,0.0,-10.322880744934082,-49.73010778427124
16,2020-08-23,802.0,6.0,3.0,8.0,0.2756132483482361,0.0,0.7126567363739014,-801.9999600946903,-46.00000102072954,-19.894249737262726,0.0,-5.606267601251602,-25.50051748752594
