,budget,env,id,name,o_0,o_1,o_5
786,,binomial,17nuxqd6,azure-sea-2221,-2753531.837463379,-40065.999031066895,-697.8734064102173
787,,binomial,17nuxqd6,azure-sea-2221,-353650.02155303955,-5062.000155448914,-1101.3820552825928
788,,binomial,17nuxqd6,azure-sea-2221,-6686498.260498047,-108086.00425720216,-194.61220264434812
789,,binomial,17nuxqd6,azure-sea-2221,-6164120.4833984375,-96527.00424194336,-239.11627292633057
790,,binomial,17nuxqd6,azure-sea-2221,-8418359.375,-144920.00579833984,-94.50866460800172
791,,binomial,17nuxqd6,azure-sea-2221,-1270128.059387207,-17173.999547958374,-921.3361358642578
792,,binomial,17nuxqd6,azure-sea-2221,-2003419.8760986328,-25923.001766204838,-830.2983570098877
793,,binomial,17nuxqd6,azure-sea-2221,-5149966.812133789,-78887.99667358398,-324.1071081161499
794,,binomial,17nuxqd6,azure-sea-2221,-1151298.9044189453,-16131.999492645264,-928.1701469421388
795,,binomial,17nuxqd6,azure-sea-2221,-6541555.023193359,-105504.98008728027,-205.9249448776245
796,,binomial,17nuxqd6,azure-sea-2221,-1352730.941772461,-19154.0002822876,-895.7050323486328
797,,binomial,17nuxqd6,azure-sea-2221,-5280937.957763672,-79041.99600219727,-321.2781286239624
798,,binomial,17nuxqd6,azure-sea-2221,-3520814.895629883,-52405.00450134277,-536.3600063323975
799,,binomial,17nuxqd6,azure-sea-2221,-6427738.952636719,-101631.00242614746,-228.62765550613403
800,,binomial,17nuxqd6,azure-sea-2221,-5553029.632568359,-84550.99105834961,-282.76289463043213
801,,binomial,17nuxqd6,azure-sea-2221,-4907929.611206055,-71059.99946594238,-371.1159324645996
802,,binomial,17nuxqd6,azure-sea-2221,-6383190.91796875,-99731.99844360352,-229.58292961120603
803,,binomial,17nuxqd6,azure-sea-2221,-961104.0115356444,-11996.999979019163,-998.2770824432372
804,,binomial,17nuxqd6,azure-sea-2221,-8405426.788330078,-144172.99270629883,-95.72227835655212
805,,binomial,17nuxqd6,azure-sea-2221,-4299207.68737793,-63369.0071105957,-431.6181564331055
806,,binomial,17nuxqd6,azure-sea-2221,-5986386.871337891,-93082.0083618164,-244.6314525604248
807,,binomial,17nuxqd6,azure-sea-2221,-2516966.0568237305,-34420.00389099121,-749.6623134613037
808,,binomial,17nuxqd6,azure-sea-2221,-1170294.952392578,-16306.99872970581,-924.420804977417
809,,binomial,17nuxqd6,azure-sea-2221,-5011450.576782227,-75029.99782562256,-340.12274980545044
810,,binomial,17nuxqd6,azure-sea-2221,-5667314.910888672,-87055.99784851074,-280.23951530456543
811,,binomial,17nuxqd6,azure-sea-2221,-8122166.442871094,-138128.98635864258,-109.10704851150513
812,,binomial,17nuxqd6,azure-sea-2221,-7581680.297851562,-127343.0061340332,-135.384339094162
813,,binomial,17nuxqd6,azure-sea-2221,-7695422.36328125,-129878.00598144533,-129.17441368103027
814,,binomial,17nuxqd6,azure-sea-2221,-2369514.0838623047,-31830.00087738037,-754.0492916107178
815,,binomial,17nuxqd6,azure-sea-2221,-2739877.128601074,-41674.99542236328,-651.7119884490967
816,,binomial,17nuxqd6,azure-sea-2221,-5026949.691772461,-76299.00455474854,-335.7719278335572
817,,binomial,17nuxqd6,azure-sea-2221,-7307881.927490234,-120141.00074768066,-152.93734788894653
818,,binomial,17nuxqd6,azure-sea-2221,-6414012.145996094,-101185.9893798828,-228.74886989593503
819,,binomial,17nuxqd6,azure-sea-2221,-4400927.734375,-67913.00296783447,-401.7216110229492
820,,binomial,17nuxqd6,azure-sea-2221,-5836113.357543945,-88751.00135803223,-252.6573729515076
821,,binomial,17nuxqd6,azure-sea-2221,-1832996.940612793,-26381.99806213379,-812.6389503479004
822,,binomial,17nuxqd6,azure-sea-2221,-7718702.697753906,-128534.9941253662,-133.0213987827301
823,,binomial,17nuxqd6,azure-sea-2221,-1582497.0245361328,-23357.996940612797,-859.3337631225586
824,,binomial,17nuxqd6,azure-sea-2221,-7503146.362304687,-124405.00259399414,-144.77463483810425
825,,binomial,17nuxqd6,azure-sea-2221,-1089004.9934387207,-13400.00033378601,-990.1151847839355
826,,binomial,17nuxqd6,azure-sea-2221,-8371782.684326172,-142721.99630737305,-99.13256764411926
827,,binomial,17nuxqd6,azure-sea-2221,-8530823.516845703,-146932.99293518066,-89.14082407951355
828,,binomial,17nuxqd6,azure-sea-2221,-5370661.163330078,-79609.0030670166,-310.61357975006104
829,,binomial,17nuxqd6,azure-sea-2221,-8481387.329101562,-146401.99661254883,-89.68780159950256
830,,binomial,17nuxqd6,azure-sea-2221,-3688451.766967773,-55372.99156188965,-498.20817947387695
831,,binomial,17nuxqd6,azure-sea-2221,-271952.0092010498,-4384.999871253967,-1122.8877925872805
832,,binomial,17nuxqd6,azure-sea-2221,-5185353.088378906,-77268.00441741943,-324.7377705574036
833,,binomial,17nuxqd6,azure-sea-2221,-8329161.834716797,-142351.9992828369,-99.7681438922882
834,,binomial,17nuxqd6,azure-sea-2221,-7032277.679443359,-112854.99572753906,-181.6668963432312
835,,binomial,17nuxqd6,azure-sea-2221,-7176429.748535156,-117527.99987792967,-169.670147895813
836,,binomial,17nuxqd6,azure-sea-2221,-8549674.987792969,-147160.005569458,-75.51026701927185
837,,binomial,17nuxqd6,azure-sea-2221,-4925908.279418945,-73155.99918365479,-355.4367256164551
838,,binomial,17nuxqd6,azure-sea-2221,-1433864.974975586,-19212.000370025635,-894.4965362548828
839,,binomial,17nuxqd6,azure-sea-2221,-1474262.0468139648,-21064.999103546143,-867.6957321166992
840,,binomial,17nuxqd6,azure-sea-2221,-1036820.9838867188,-13572.00026512146,-981.7714977264404
