,budget,env,id,name,o_0,o_1,o_5
1250,5.0,binomial,1hf1egn5,hopeful-elevator-2164,-6722229.766845703,-114468.00231933594,-158.2234239578247
1251,5.0,binomial,1hf1egn5,hopeful-elevator-2164,-2027979.0878295896,-35927.00004577637,-680.8116817474365
1252,5.0,binomial,1hf1egn5,hopeful-elevator-2164,-128583.99152755736,-2966.000139713288,-1007.453498840332
1253,5.0,binomial,1hf1egn5,hopeful-elevator-2164,-45080.00016212464,-1639.000028371811,-1338.281192779541
1254,5.0,binomial,1hf1egn5,hopeful-elevator-2164,-5876978.68347168,-99141.99829101562,-244.13485765457156
1255,5.0,binomial,1hf1egn5,hopeful-elevator-2164,-40628.99947166443,-1633.999943733215,-1364.4748306274414
1256,5.0,binomial,1hf1egn5,hopeful-elevator-2164,-421251.9645690918,-7702.000141143799,-975.2751445770264
1257,5.0,binomial,1hf1egn5,hopeful-elevator-2164,-2740007.0190429688,-47002.99263000488,-597.5414943695068
1258,5.0,binomial,1hf1egn5,hopeful-elevator-2164,-3749534.98840332,-60227.99968719482,-458.1273078918457
1259,5.0,binomial,1hf1egn5,hopeful-elevator-2164,-91532.00387954712,-2520.0000405311584,-1050.007495880127
1260,5.0,binomial,1hf1egn5,hopeful-elevator-2164,-1730624.961853027,-30606.0004234314,-725.3536033630371
1261,5.0,binomial,1hf1egn5,hopeful-elevator-2164,-48730.9992313385,-1786.00013256073,-1204.312620162964
1262,5.0,binomial,1hf1egn5,hopeful-elevator-2164,-2922647.0947265625,-49878.00121307373,-556.205906867981
1263,5.0,binomial,1hf1egn5,hopeful-elevator-2164,-64886.99913024902,-2088.9997482299805,-1105.644235610962
1264,5.0,binomial,1hf1egn5,hopeful-elevator-2164,-8148139.953613281,-137770.0138092041,-97.38244771957396
1265,5.0,binomial,1hf1egn5,hopeful-elevator-2164,-6431803.131103516,-109527.99797058104,-189.61769342422485
1266,5.0,binomial,1hf1egn5,hopeful-elevator-2164,-3832410.8123779297,-64640.99884033203,-456.4734792709351
1267,5.0,binomial,1hf1egn5,hopeful-elevator-2164,-2768029.022216797,-46348.99616241455,-614.5113801956177
