,budget,env,id,name,o_0,o_1,o_5
1156,4.0,binomial,1dcm8dbz,icy-elevator-2105,-1294226.8371582031,-21898.000240325928,-836.7734241485596
1157,4.0,binomial,1dcm8dbz,icy-elevator-2105,-463357.9730987549,-8718.99962425232,-967.9767894744872
1158,4.0,binomial,1dcm8dbz,icy-elevator-2105,-1526545.0477600098,-24880.001544952396,-813.8683891296387
1159,4.0,binomial,1dcm8dbz,icy-elevator-2105,-42347.00202941895,-1670.9999740123749,-1324.2085647583008
1160,4.0,binomial,1dcm8dbz,icy-elevator-2105,-1719566.7266845703,-29509.00077819824,-759.790506362915
1161,4.0,binomial,1dcm8dbz,icy-elevator-2105,-45617.00224876404,-1689.9999976158142,-1291.9757080078125
1162,4.0,binomial,1dcm8dbz,icy-elevator-2105,-126117.00296401978,-3000.9999871253967,-1043.228588104248
1163,4.0,binomial,1dcm8dbz,icy-elevator-2105,-772536.9930267334,-13987.998962402344,-909.0110206604004
1164,4.0,binomial,1dcm8dbz,icy-elevator-2105,-1312595.0813293457,-22959.001064300537,-821.9944095611572
1165,4.0,binomial,1dcm8dbz,icy-elevator-2105,-4333417.892456055,-73660.00175476074,-431.8993377685547
1166,4.0,binomial,1dcm8dbz,icy-elevator-2105,-52316.999435424805,-1810.999810695648,-1124.8361492156982
1167,4.0,binomial,1dcm8dbz,icy-elevator-2105,-8184239.196777344,-138819.99969482422,-86.35573625564575
1168,4.0,binomial,1dcm8dbz,icy-elevator-2105,-69902.00281143188,-2213.000059127808,-1096.838779449463
1169,4.0,binomial,1dcm8dbz,icy-elevator-2105,-1028845.9777832032,-17986.99975013733,-859.6375179290771
1170,4.0,binomial,1dcm8dbz,icy-elevator-2105,-7378204.345703125,-127686.99645996094,-125.77895164489746
1171,4.0,binomial,1dcm8dbz,icy-elevator-2105,-772680.0918579102,-13580.000400543213,-919.4089794158936
1172,4.0,binomial,1dcm8dbz,icy-elevator-2105,-1514769.0773010254,-27011.99531555176,-805.6216049194336
1173,4.0,binomial,1dcm8dbz,icy-elevator-2105,-1035859.0126037598,-17896.99912071228,-865.349292755127
1174,4.0,binomial,1dcm8dbz,icy-elevator-2105,-8340762.329101562,-142061.98692321777,-85.2619743347168
1175,4.0,binomial,1dcm8dbz,icy-elevator-2105,-47619.00305747986,-1754.000037908554,-1246.2089824676514
1176,4.0,binomial,1dcm8dbz,icy-elevator-2105,-2589736.9384765625,-43649.001121521,-633.3058547973633
1177,4.0,binomial,1dcm8dbz,icy-elevator-2105,-6099275.207519531,-104509.00077819824,-231.25916004180908
1178,4.0,binomial,1dcm8dbz,icy-elevator-2105,-7479025.268554687,-125449.0089416504,-127.87639617919922
1179,4.0,binomial,1dcm8dbz,icy-elevator-2105,-1372068.0236816406,-24039.998054504395,-818.8294887542725
1180,4.0,binomial,1dcm8dbz,icy-elevator-2105,-6996851.348876953,-121230.00144958496,-150.19977807998657
1181,4.0,binomial,1dcm8dbz,icy-elevator-2105,-1620437.049865723,-27690.00291824341,-785.048418045044
1182,4.0,binomial,1dcm8dbz,icy-elevator-2105,-827709.0072631836,-15102.999210357666,-898.5012245178223
1183,4.0,binomial,1dcm8dbz,icy-elevator-2105,-3266436.767578125,-54378.99589538574,-565.2824592590332
1184,4.0,binomial,1dcm8dbz,icy-elevator-2105,-5448089.981079102,-89530.00068664551,-373.451771736145
1185,4.0,binomial,1dcm8dbz,icy-elevator-2105,-1600745.2011108398,-27329.001426696777,-799.9014186859131
1186,4.0,binomial,1dcm8dbz,icy-elevator-2105,-288491.01066589355,-5531.00049495697,-992.4585342407228
1187,4.0,binomial,1dcm8dbz,icy-elevator-2105,-5128285.980224609,-86511.99340820312,-375.70053577423096
1188,4.0,binomial,1dcm8dbz,icy-elevator-2105,-5336360.168457031,-91164.98947143556,-356.196026802063
1189,4.0,binomial,1dcm8dbz,icy-elevator-2105,-4880875.015258789,-80775.9952545166,-384.818286895752
1190,4.0,binomial,1dcm8dbz,icy-elevator-2105,-1243427.848815918,-21245.996952056885,-851.872673034668
1191,4.0,binomial,1dcm8dbz,icy-elevator-2105,-4017453.002929688,-66623.0058670044,-489.4690704345703
1192,4.0,binomial,1dcm8dbz,icy-elevator-2105,-136545.00246047974,-3201.9999623298645,-1037.501449584961
1193,4.0,binomial,1dcm8dbz,icy-elevator-2105,-42750.00095367432,-1657.0000350475311,-1337.8319549560547
1194,4.0,binomial,1dcm8dbz,icy-elevator-2105,-297785.99739074707,-5758.000016212463,-986.7002391815186
1195,4.0,binomial,1dcm8dbz,icy-elevator-2105,-942079.9255371094,-17125.999927520752,-889.1295433044434
1196,4.0,binomial,1dcm8dbz,icy-elevator-2105,-4149869.918823242,-68237.9961013794,-471.5860319137573
1197,4.0,binomial,1dcm8dbz,icy-elevator-2105,-2092618.179321289,-36484.999656677246,-705.847978591919
1198,4.0,binomial,1dcm8dbz,icy-elevator-2105,-6058000.183105469,-101740.99922180176,-295.1886248588562
