,mu_o_1,mu_o_5,mu_o_0,std_o_1,std_o_5,std_o_0
0,-148653.3260345459,-73.80158293247223,-8563657.531738281,0.0,7.2355851322149,48599.91512438881
1,-147882.9574584961,-73.81063346071252,-8551994.724698495,0.0,7.2490661136887455,45004.87270469259
2,-147813.02452087402,-73.92501167067016,-8549957.320855267,0.0,7.253183733394323,44108.33289339037
3,-146606.98890686035,-77.4909634493184,-8497607.564478165,0.0,9.29779118499655,30430.414228012873
4,-146377.4013519287,-77.84559458619145,-8488059.900369251,0.0,9.621838942113003,34034.83364406295
5,-146181.41174316406,-78.20210699145323,-8478194.149049554,0.0,9.837739951011487,35823.856916674056
6,-145798.25401306152,-79.02131365824664,-8461293.378710244,0.0,10.383543258213662,36966.685258849226
7,-144841.13693237305,-80.88082896218773,-8438470.525145825,0.0,11.669075869707116,49729.02846808389
8,-144724.12109375,-81.87730550612457,-8433392.859694092,0.0,11.155009245017276,50590.67265148918
9,-144523.0197906494,-83.38415547758986,-8418425.004896736,0.0,10.392181618529202,46420.531319707916
10,-144463.72032165527,-83.4485773270513,-8414460.695225148,0.0,10.380962726878673,45609.54728948659
11,-144328.14598083496,-85.45304454642701,-8419262.386976238,0.0,11.487819975664713,43960.392652530456
12,-144082.27920532227,-86.58933334747297,-8393683.199678283,0.0,12.330592814071215,39913.323237287994
13,-143803.52020263672,-86.89083210636234,-8372685.1759562995,0.0,12.284833862095706,39812.31150340324
14,-143718.80531311035,-88.09072270730783,-8368923.348969661,0.0,10.54495220406876,43693.46305828091
15,-143259.74464416504,-88.50329455374391,-8337270.293896836,0.0,10.598084611967044,53879.397646552636
16,-143071.50840759277,-90.5521008560614,-8339246.01560126,0.0,12.748828711213552,54794.849906271
17,-142852.7069091797,-92.202942773768,-8258720.366934444,0.0,14.846528404233474,143340.09049767704
18,-142738.34228515625,-92.55452942539219,-8251844.333548665,0.0,15.230535955357361,145499.69760905992
19,-142687.25395202637,-92.68694997252496,-8255236.422830777,0.0,15.365260145127182,134917.20157792387
20,-142547.83630371094,-93.05635465132507,-8268182.698425184,0.0,15.7403793589625,107117.56867055854
21,-142500.61988830566,-93.5113801396997,-8272650.459138848,0.0,15.459098657342642,98442.54738556176
22,-142439.90898132324,-94.09118164273643,-8278638.83801649,0.0,15.12875673254758,87929.67467591015
23,-142184.50546264648,-94.80132560510266,-8300677.458525186,0.0,15.78605299101555,55087.380874562725
24,-141558.82835388184,-95.62697676370576,-8268980.005052121,0.0,15.883829221971862,51563.55352502868
25,-141494.3027496338,-95.7163144380993,-8266113.495216805,0.0,15.893030523360704,52100.620751022325
26,-141161.16523742676,-96.28872786849679,-8242583.499243523,0.0,15.996093631312672,55937.51207719991
27,-140391.01600646973,-97.8355583053028,-8194508.637996773,0.0,16.052528232023292,79480.64397485199
28,-140103.20663452148,-98.46424748685774,-8178088.357150903,0.0,16.020389282283542,92722.85556008753
29,-139629.02069091797,-100.25183551988007,-8139715.658794522,0.0,15.825529667798168,108809.99316318653
30,-139244.49920654297,-101.15619001214937,-8117342.9349067975,0.0,15.768848011144096,126418.84384722382
31,-138928.52783203125,-101.85701019846987,-8122484.901469229,0.0,15.656787249450165,104527.82881057599
32,-138680.83000183103,-103.25442274541675,-8128649.317519285,0.0,14.878910098466738,95952.04038536243
33,-138566.35093688965,-105.13146170209411,-8123499.471445732,0.0,13.06326599091388,88898.18379591967
34,-138544.06356811523,-105.25117959502104,-8124565.035559332,0.0,13.001599739823744,89271.71426204724
35,-138046.4744567871,-106.03272288111427,-8133703.03520222,0.0,13.11444760306037,105757.86495881459
