,mu_o_1,mu_o_5,mu_o_0,std_o_1,std_o_5,std_o_0
27,-142721.99630737305,-117.8483839146854,-8306009.531005988,0.0,25.34913280494764,75181.71474663356
28,-142322.998046875,-118.45582273180335,-8281159.743814187,0.0,25.222472819322835,75005.16818969145
29,-142131.99615478516,-119.05848158366207,-8269996.172089359,0.0,25.40543285089821,76101.63055623411
30,-141931.00929260254,-120.15277715026116,-8256274.524029603,0.0,25.668806469167002,83358.5743968085
31,-141845.00694274902,-120.48621488863883,-8253202.9878377635,0.0,25.760606729690767,82471.41374688748
32,-141672.00088500977,-121.49119981657891,-8247027.616498326,0.0,25.75707280159424,80840.5253911211
33,-141450.99639892578,-122.35065742465335,-8247911.819339606,0.0,26.198041185017345,65049.62347563751
34,-141344.00367736816,-122.65539456060019,-8248633.46372696,0.0,26.276324163238503,60195.94435438066
35,-140924.00550842285,-123.57318365612699,-8233491.581920373,0.0,26.475931890248084,53950.54992284113
36,-140855.99899291992,-123.76656724436171,-8227261.959449984,0.0,26.51168505973969,54909.36267363872
37,-140755.99670410156,-124.06178014702655,-8214914.582012433,0.0,26.504917833792895,60801.113741726425
38,-140600.004196167,-124.54388113915574,-8195133.42411398,0.0,26.440892681932407,79509.36141187527
39,-140239.00032043457,-125.61572163304254,-8186903.676518646,0.0,26.150040837194872,56869.15191827288
40,-140100.99411010742,-126.11411628857437,-8177230.173701299,0.0,26.054995819291786,59996.253938438225
41,-139736.00387573242,-127.34337678912041,-8158851.105557394,0.0,25.920460481281385,78825.11517548593
42,-139566.9937133789,-127.89893844963822,-8156645.218627365,0.0,25.843664244321968,91857.85754672588
43,-139505.99670410156,-128.0789248841175,-8154629.178651293,0.0,25.834595650522903,92773.2907068496
44,-138943.99642944336,-129.64437573216117,-8121476.052595871,0.0,25.803501940900592,84945.23750888504
45,-138347.0058441162,-130.71527993570047,-8089966.886451177,0.0,25.75066824168953,69371.18857079333
46,-138128.98635864258,-131.18751607113066,-8076331.011045749,0.0,25.766425733810646,68682.81895998008
47,-138024.98817443848,-131.84394914424462,-8071498.3540473785,0.0,25.506598267459367,69298.65682250228
48,-137961.00616455078,-132.10411966773626,-8066577.7765301,0.0,25.446025482712717,70098.49230890266
49,-137824.99313354492,-132.46983879249618,-8057232.6785073085,0.0,25.44455613930301,69658.42122021197
50,-137779.0069580078,-132.61541558354665,-8049333.143700609,0.0,25.484704488953344,69349.60991133541
51,-137351.9992828369,-133.6223954577846,-8026306.949519831,0.0,25.44199953273217,57096.71576546155
52,-136544.99053955078,-135.0825925255121,-8000638.014936077,0.0,25.355527575511637,41701.646206713674
53,-136378.00216674805,-136.1616051000819,-7975802.315437669,0.0,25.576272713423414,75463.98383901847
54,-136327.0092010498,-136.5160756936276,-7974855.44015788,0.0,25.578135649621814,76662.96355625015
55,-135770.99800109863,-138.1312842380053,-7950085.889074204,0.0,25.567496211101094,78507.08276782538
56,-135084.00917053223,-139.38252213484975,-7918286.52264663,0.0,25.492492496517713,77665.87336096687
57,-134965.99197387695,-139.59916412680292,-7913678.6410651775,0.0,25.469724061929124,77336.18271270145
58,-134759.00650024414,-140.05778802316925,-7911483.644408043,0.0,25.459011564706238,64727.76006185851
59,-134371.00410461426,-141.5093406846579,-7885444.477785367,0.0,24.697560123006728,84540.91247596097
60,-134103.99436950684,-142.1117795727054,-7854144.655391957,0.0,24.551301167782633,95835.04118269142
61,-133891.99256896973,-142.75757588575306,-7850145.7647896875,0.0,24.333004748529873,115139.3960703521
62,-133528.00369262695,-144.83668023101018,-7841981.715528282,0.0,25.77832819568009,86613.00872767929
63,-133402.00424194336,-145.51730744473087,-7837021.294639264,0.0,26.55846674313037,78096.223577904
64,-133267.99392700195,-146.1705647629889,-7834454.134121651,0.0,27.058403113697626,68498.52734177708
65,-133169.99435424805,-146.33893500936432,-7829497.3596707005,0.0,26.991762657310343,67874.88206814724
66,-132769.0029144287,-147.74523698341673,-7799689.001238482,0.0,27.30363861291546,68667.84056719657
67,-132258.9874267578,-150.0459973717942,-7770705.156517632,0.0,27.60680903558652,67639.3164879588
68,-131778.01132202148,-152.19611933486823,-7748051.892469145,0.0,28.171479333317485,69886.01157174517
69,-131287.00256347656,-153.90701293210736,-7719924.538761546,0.0,29.171727438854774,75307.06152432824
70,-130935.98365783691,-155.31821351566845,-7703859.8759357985,0.0,29.785868477684897,86800.60077912036
71,-130729.9995422363,-156.4173118323799,-7696081.249966043,1.4551915228366852e-11,30.149876687189632,93758.9714228565
72,-130615.00549316406,-157.17355175533385,-7690197.58411943,0.0,30.280299794225883,94461.35253667657
73,-130400.99143981934,-158.2290968986565,-7675052.244794844,0.0,30.64083017776877,89792.30003895042
74,-129980.98373413086,-159.8509992016202,-7642844.638748641,0.0,31.646771626198955,84084.12833248639
75,-129878.00598144534,-160.46898793399106,-7632457.213115799,1.4551915228366852e-11,31.736110786697868,81381.95867671318
76,-129617.99621582034,-161.8568934413335,-7613617.796390687,1.4551915228366852e-11,32.14144945621621,82349.74809463264
77,-129368.00003051758,-162.50342978342184,-7598863.5785102295,0.0,32.30351127834518,85114.19783352803
78,-128931.0073852539,-164.10065626458717,-7567329.559464271,0.0,32.22673114062051,93320.51035205516
79,-128443.99452209473,-165.79961742444885,-7534874.782955085,0.0,32.3282949166691,102146.72201745115
