,mu_o_1,mu_o_5,mu_o_0,std_o_1,std_o_5,std_o_0
0,-148653.00178527832,-83.18623208999634,-8492951.81274414,0.0,7.583735689742721,104429.9528296076
1,-147319.01168823242,-83.29725746168445,-8487309.175072465,0.0,7.663301766409417,100026.49288536666
2,-147123.00300598145,-84.0700122510355,-8476736.014592486,0.0,6.493798286108983,93313.88923502868
3,-147023.99253845215,-84.41099945056348,-8471568.766732689,0.0,6.165203647285158,92246.35732988048
4,-145951.0040283203,-84.95263957659162,-8446774.398694523,0.0,6.050253967463492,83129.88246135545
5,-145480.0033569336,-85.31249860124919,-8432688.421997273,0.0,6.092548282646754,80620.33887066072
6,-145454.00619506836,-85.33567189389247,-8431707.319278905,0.0,6.092309740740836,80347.2059832241
7,-144932.00302124023,-86.10677724635339,-8400476.43084196,0.0,6.182688863811964,66317.76070313496
8,-144682.0068359375,-86.51030412087873,-8388796.828040125,0.0,6.27829626785218,62499.0158969955
9,-144284.00039672852,-86.91896210336373,-8371082.215775175,0.0,6.2514892691955755,57310.11862819349
10,-143036.00311279297,-88.12711531107072,-8305019.58509603,0.0,6.060750449718736,43868.16727668466
11,-142481.99462890625,-89.22852507900743,-8274885.652026251,0.0,5.317472197181498,45524.68250556793
12,-142211.99989318848,-89.79985858728774,-8263164.466378373,0.0,5.275276682859808,47341.623685650244
13,-142047.9965209961,-90.11760404779331,-8256001.6845078245,0.0,5.301084128309,49112.0720674176
14,-141461.00044250488,-91.81314150870365,-8246335.548424503,0.0,6.121773546551956,36725.78620878407
15,-140896.99745178223,-92.8623604912012,-8214564.1813333975,0.0,6.79763187796409,50019.103498365635
16,-140499.0005493164,-93.53788093179851,-8190986.83435787,0.0,7.2577122610762475,73234.20840856833
17,-140015.99311828613,-94.09330313219947,-8168352.461150219,0.0,7.4575865540827255,66694.80361990933
18,-139790.9927368164,-94.32849861203616,-8163755.4489349425,0.0,7.549873642215951,65333.86364624741
19,-139686.00273132324,-94.52376602312441,-8159677.393229541,0.0,7.539929899068735,63417.04472866544
20,-139014.98794555664,-95.67117849556068,-8142409.05688791,0.0,7.5797368076043155,53163.238013155045
21,-138348.00720214844,-96.73858773632264,-8125328.368776364,0.0,7.200184326419389,59318.51147485416
22,-137917.0036315918,-97.91218601159761,-8103497.401458589,0.0,7.277210782340046,66301.51345644776
23,-137513.99040222168,-99.22037010724576,-8081328.858077416,0.0,6.931078045238649,66522.42332306351
24,-137197.99041748047,-100.19322699503789,-8058289.833478041,0.0,6.332477906481332,61522.81571134836
25,-136906.99577331543,-101.25634718153488,-8036480.361600881,0.0,6.0037045190717055,62836.84320296094
26,-136143.99909973145,-103.60669757568698,-7998567.292696558,0.0,6.123309170263367,54675.68352378066
27,-136090.00205993652,-103.81493122547559,-7995232.0570631055,0.0,6.145814500368136,54025.18181797377
28,-135757.98988342285,-105.30074802767226,-7970829.441361403,0.0,6.551797811388272,53530.11715911543
29,-135161.00883483887,-107.81213928396994,-7929537.173216266,0.0,7.724411497736832,56036.72782996203
30,-134812.9940032959,-109.13900448900003,-7915904.745336448,0.0,8.510541035642765,50913.73089507554
31,-134657.9933166504,-109.59955781275104,-7910993.737568259,0.0,8.709689186041407,50714.29417702433
32,-133760.0040435791,-112.08534744973004,-7863162.27519052,0.0,10.51417734334047,66963.15875537206
33,-133141.0026550293,-114.48413670457985,-7848656.759740137,0.0,8.392979299280157,86523.90806541266
34,-131981.99272155762,-115.95386695389979,-7791771.457758909,0.0,8.432304665905558,91035.40723969655
35,-131512.99476623535,-117.07761221084897,-7756273.209484102,0.0,8.296950574468164,99752.52526290517
36,-131433.0005645752,-117.61382080934126,-7745044.337849858,0.0,8.366995764914659,107236.24368185404
37,-131052.9899597168,-118.841652146253,-7720511.621669997,0.0,8.337447236095075,113837.07111047045
38,-130260.9825134277,-122.52530887945768,-7651409.123094657,1.4551915228366852e-11,9.106112641366856,125041.91088880331
39,-130105.99136352542,-123.20184865070647,-7642334.106339703,1.4551915228366852e-11,9.237117726984048,124965.95362728041
40,-129376.00135803226,-126.61007248337646,-7603003.14423054,1.4551915228366852e-11,10.350683778219203,128913.20146709435
41,-128685.98937988278,-129.7936608115685,-7578919.293043008,1.4551915228366852e-11,11.387851691978142,123992.65054966937
42,-128607.99789428714,-130.15843114405567,-7564162.142030585,1.4551915228366852e-11,11.48628283192832,118332.73859924292
43,-127761.00158691406,-132.92454984609665,-7519750.260786539,0.0,12.632110641221356,123859.88247147462
44,-127624.99809265137,-133.3700375859327,-7504727.2297267495,0.0,12.841144138069845,117779.6006362352
45,-127009.0103149414,-137.17264760246238,-7454161.511233416,0.0,11.266072991279952,116878.97134898201
