index,dates,ari,i_hosp_new,i_icu_new,d_new,p_w,p_s,p_l,o_0,o_1,o_2,o_3,o_4,o_5
0,2020-05-03,51861.0,99.0,36.0,35.0,0.9729180932044983,0.9515791535377502,0.9553539752960205,-7041006.4697265625,-114065.99998474121,-85.49174070358276,-14.964520931243896,-80.18403053283691,-180.64029693603516
1,2020-05-10,226678.0,78.0,33.0,35.0,0.9818053841590881,0.9438692927360535,0.9415369033813477,-6989145.660400391,-113306.99920654297,-64.62166905403137,-6.60258412361145,-61.855560541152954,-133.0798065662384
2,2020-05-17,815739.0,156.0,58.0,44.0,0.9417629837989807,0.9226221442222595,0.9159473180770874,-6762467.956542969,-112326.00212097168,-63.621652126312256,-5.905581712722778,-60.18984913825989,-129.71707820892334
3,2020-05-24,1825760.0,572.0,189.0,93.0,0.699398398399353,0.844056248664856,0.5453651547431946,-5946729.278564453,-109152.00233459473,-62.298017740249634,-5.132443904876709,-58.12830328941345,-125.55875301361084
4,2020-05-31,1650434.0,1738.0,613.0,287.0,0.30109187960624695,0.8423635959625244,0.17831189930438995,-4120969.009399414,-98224.00093078613,-57.956862449645996,-4.231759607791901,-53.01097631454468,-115.19958972930908
5,2020-06-07,828294.0,2818.0,988.0,643.0,0.19754000008106232,0.9104931950569153,0.6647114753723145,-2470535.087585449,-74921.99897766113,-48.129576444625854,-3.3207571506500244,-42.921382188797,-94.3717110157013
6,2020-06-14,535654.0,2154.0,745.0,737.0,0.9178546071052551,0.9360294342041016,0.458726167678833,-1642241.096496582,-51171.99897766113,-31.810301542282104,-2.4911020696163177,-32.52354860305786,-66.8249523639679
7,2020-06-21,411327.0,1430.0,475.0,546.0,0.9342818856239319,0.8309563994407654,0.9921316504478455,-1106587.028503418,-35305.001735687256,-19.865235686302185,-1.8400445580482483,-24.559244513511658,-46.264527440071106
8,2020-06-28,293706.0,971.0,316.0,392.0,0.9500861763954163,0.8258273601531982,0.9538558721542358,-695260.0479125977,-24606.001377105713,-17.92525351047516,-0.7653411477804184,-18.230120837688446,-36.92071974277496
9,2020-07-05,176719.0,812.0,251.0,288.0,0.9611717462539673,0.0,0.9408622980117798,-401554.012298584,-16563.000679016113,-16.30980223417282,0.0,-17.71274209022522,-34.02254730463028
10,2020-07-12,103422.0,570.0,185.0,196.0,0.9463611841201782,0.0,0.9042431116104126,-224835.01434326172,-10234.00068283081,-15.004853904247284,0.0,-16.554978489875793,-31.55983418226242
11,2020-07-19,57347.0,373.0,105.0,135.0,0.9353391528129578,0.0,0.858398973941803,-121413.00439834595,-5964.000225067139,-13.652975857257843,0.0,-14.827972650527954,-28.480950593948364
12,2020-07-26,30457.0,256.0,82.0,81.0,0.9416500926017761,0.0,0.8552691340446472,-64066.00475311279,-3206.999897956848,-11.864446848630905,0.0,-12.111237645149231,-23.97568702697754
13,2020-08-02,16759.0,125.0,29.0,57.0,0.9260161519050598,0.0,0.9351258277893066,-33609.00282859802,-1643.9999639987946,-9.93628203868866,0.0,-8.699439465999603,-18.63572269678116
14,2020-08-09,9222.0,55.0,29.0,37.0,0.8789174556732178,0.0,0.8851545453071594,-16850.000619888306,-816.9999718666077,-7.901191711425781,0.0,-6.030949950218201,-13.932141959667206
15,2020-08-16,4894.0,39.0,10.0,26.0,0.9412130117416382,0.0,0.9355496764183044,-7627.999782562256,-359.0000048279762,-4.948664084076881,0.0,-3.95936518907547,-8.908029198646545
16,2020-08-23,2734.0,22.0,6.0,10.0,0.9336113333702087,0.0,0.9218521118164062,-2734.00004953146,-142.000000923872,-1.957383006811142,0.0,-1.6979003325104713,-3.6552832648158073
