index,dates,ari,i_hosp_new,i_icu_new,d_new,p_w,p_s,p_l,o_0,o_1,o_2,o_3,o_4,o_5
0,2020-05-03,50354.0,89.0,38.0,48.0,0.9712474346160889,0.7864628434181213,0.9411413073539734,-5005902.862548828,-83272.99118041992,-169.45223808288574,-55.62323570251465,-158.5437774658203,-383.6192750930786
1,2020-05-10,201783.0,82.0,20.0,46.0,0.9417096376419067,0.6775397658348083,0.9213271141052246,-4955548.858642578,-82502.99453735352,-148.45898151397705,-46.242613792419434,-139.93312120437622,-334.63473558425903
2,2020-05-17,614656.0,152.0,72.0,30.0,0.8143574595451355,0.4531847834587097,0.8497567772865295,-4753765.869140625,-81528.99742126465,-146.6926097869873,-42.71064758300781,-137.7005100250244,-327.1038007736206
3,2020-05-24,1047670.0,497.0,186.0,83.0,0.42414647340774536,0.3451034128665924,0.28388121724128723,-4139109.8022460938,-78579.99801635742,-142.33615398406982,-37.535197734832764,-134.38305854797363,-314.25443172454834
4,2020-05-31,729194.0,1258.0,447.0,227.0,0.040992867201566696,0.25735101103782654,0.20266935229301453,-3091440.010070801,-69986.00006103516,-131.1253309249878,-31.4245343208313,-124.65766668319702,-287.20755100250244
5,2020-06-07,311619.0,1573.0,526.0,408.0,0.004430003464221954,0.06513703614473343,0.10499084740877151,-2362245.9411621094,-55682.997703552246,-110.32873392105103,-25.427517890930176,-107.96657800674438,-243.7228488922119
6,2020-06-14,196957.0,1075.0,364.0,424.0,0.7962006330490112,0.09978286176919937,0.6054953932762146,-2050626.9454956055,-43434.99660491943,-83.35880041122437,-18.628318309783936,-89.92389440536499,-191.91102504730225
7,2020-06-21,271619.0,563.0,182.0,285.0,0.7358688116073608,0.08591514825820923,0.6203107237815857,-1853669.9295043945,-36500.99754333496,-64.92825150489807,-10.885041952133179,-75.15419125556946,-150.96750140190125
8,2020-06-28,280046.0,436.0,142.0,197.0,0.725195050239563,0.07833746075630188,0.6190189123153687,-1582050.9910583496,-32223.997116088867,-58.74233841896057,-3.2703283429145813,-66.97169542312622,-128.9843738079071
9,2020-07-05,268040.0,490.0,182.0,166.0,0.7200658917427063,0.0,0.618852972984314,-1302005.0048828125,-27771.997451782227,-51.687830686569214,0.0,-59.16299223899841,-110.85082769393921
10,2020-07-12,241140.0,506.0,189.0,139.0,0.7187204360961914,0.0,0.6180737614631653,-1033965.015411377,-22926.998138427734,-44.5521742105484,0.0,-51.48416757583618,-96.03634357452393
11,2020-07-19,207365.0,446.0,172.0,158.0,0.721971333026886,0.0,0.6177967190742493,-792824.9835968018,-18213.999271392822,-37.394070625305176,0.0,-43.8811719417572,-81.27524614334106
12,2020-07-26,172118.0,476.0,159.0,160.0,0.7318100333213806,0.0,0.6204692721366882,-585459.9952697754,-13740.999698638916,-30.262652039527893,0.0,-36.2981379032135,-66.56079769134521
13,2020-08-02,139458.0,417.0,127.0,150.0,0.7495115995407104,0.0,0.6287326812744141,-413341.9990539551,-9873.000383377075,-23.258817195892334,0.0,-28.728488087654114,-51.98731005191803
14,2020-08-09,112209.0,328.0,115.0,121.0,0.7758102416992188,0.0,0.6455751061439514,-273884.0103149414,-6510.000228881836,-16.548019647598267,0.0,-21.232017874717712,-37.78004050254822
15,2020-08-16,89648.0,266.0,83.0,83.0,0.8062523007392883,0.0,0.6624584197998047,-161675.00019073486,-3828.9999961853027,-10.341324657201767,0.0,-13.938269019126892,-24.279594719409943
16,2020-08-23,72027.0,222.0,78.0,54.0,0.8303784132003784,0.0,0.6477501392364502,-72026.99780464172,-1697.9999840259552,-4.822812974452972,0.0,-6.94824606180191,-11.771059334278107
