index,dates,ari,i_hosp_new,i_icu_new,d_new,p_w,p_s,p_l,o_0,o_1,o_2,o_3,o_4,o_5
0,2020-05-03,23093.0,88.0,42.0,56.0,0.04896749183535576,0.05327597260475159,0.03034130670130253,-84925.99725723267,-1002328.8726806641,-550.4612445831299,-101.19543075561523,-439.6298408508301,-1091.286563873291
1,2020-05-10,12327.0,67.0,23.0,36.0,0.08235194534063339,0.06235651299357414,0.08868568390607834,-61833.00018310547,-1001598.8922119141,-512.5339984893799,-87.58073806762695,-408.1300735473633,-1008.2448577880859
2,2020-05-17,8261.0,42.0,7.0,27.0,0.22425313293933868,0.052102670073509216,0.07772962003946304,-49505.9996843338,-1001146.9268798828,-471.470308303833,-74.4861650466919,-376.17013454437256,-922.126636505127
3,2020-05-24,6078.0,34.0,8.0,14.0,0.20851323008537292,0.14232926070690155,0.016518622636795044,-41244.9985742569,-1000846.9390869141,-433.9226722717285,-61.427483558654785,-345.2420234680176,-840.5922031402588
4,2020-05-31,3882.0,17.0,4.0,12.0,0.04908670112490654,0.04123622924089432,0.0818273276090622,-35166.99969768524,-1000665.9698486328,-399.71940517425537,-48.82840633392334,-313.2648468017578,-761.8126773834229
5,2020-06-07,2448.0,12.0,3.0,3.0,0.12971173226833344,0.19275817275047302,0.06830914318561554,-31284.99984741211,-1000554.9621582031,-362.21110820770264,-36.37451410293579,-281.0434579849243,-679.6291065216064
6,2020-06-14,1999.0,5.0,4.0,5.0,0.29616817831993103,0.21433326601982117,0.28822317719459534,-28836.998343467712,-1000462.9516601562,-322.1690893173218,-23.999927043914795,-249.91843700408936,-596.0874795913696
7,2020-06-21,2415.0,4.0,2.0,5.0,0.29616817831993103,0.43028661608695984,0.290782630443573,-26837.998628616333,-1000413.9709472656,-287.2361183166504,-12.968831062316895,-221.65777683258057,-521.8627309799194
8,2020-06-28,2598.0,6.0,1.0,2.0,0.30834051966667175,0.4288584291934967,0.30623242259025574,-24422.99872636795,-1000376.9683837891,-256.5218448638916,-3.3716556429862976,-197.73094654083252,-457.62446880340576
9,2020-07-05,2467.0,2.0,1.0,1.0,0.32649311423301697,0.0,0.3204401731491089,-21824.999153614044,-1000338.9739990234,-226.04436874389648,0.0,-174.08335208892822,-400.12773513793945
10,2020-07-12,2498.0,5.0,2.0,1.0,0.3439863920211792,0.0,0.33337610960006714,-19357.99866914749,-1000293.9605712891,-196.22100591659546,0.0,-150.9480118751526,-347.16904163360596
11,2020-07-19,2383.0,4.0,3.0,6.0,0.3591056764125824,0.0,0.3432267904281616,-16859.999299049377,-1000260.9252929688,-167.18955039978027,0.0,-128.28197479248047,-295.47154426574707
12,2020-07-26,2485.0,9.0,0.0,3.0,0.3693777918815613,0.0,0.35048767924308777,-14476.999640464783,-1000212.9364013672,-138.88921737670898,0.0,-106.01639747619629,-244.90561723709106
13,2020-08-02,2511.0,6.0,3.0,2.0,0.37222760915756226,0.0,0.3585120737552643,-11991.999298334122,-1000172.9583740234,-111.17076873779297,0.0,-84.05433297157288,-195.22509813308716
14,2020-08-09,2857.0,11.0,0.0,0.0,0.3665696680545807,0.0,0.3721313774585724,-9480.999410152435,-1000130.9204101562,-83.77573490142822,0.0,-62.35613822937012,-146.13187551498413
15,2020-08-16,3109.0,7.0,5.0,2.0,0.3517778217792511,0.0,0.3880997598171234,-6623.999774456024,-1000089.9505615234,-56.36226534843445,0.0,-41.01640582084656,-97.378671169281
16,2020-08-23,3515.0,8.0,2.0,1.0,0.33080530166625977,0.0,0.4121059477329254,-3514.999896287918,-1000040.9698486328,-28.55057716369629,0.0,-20.177780091762543,-48.72835636138916
