index,dates,ari,i_hosp_new,i_icu_new,d_new,p_w,p_s,p_l,o_0,o_1,o_2,o_3,o_4,o_5
0,2020-05-03,30465.0,89.0,25.0,40.0,0.28527340292930603,0.7415731549263,0.16764064133167267,-1328839.9696350098,-1016560.9741210938,-534.9189758300781,-22.43232488632202,-402.9444217681885,-960.2957153320312
1,2020-05-10,51167.0,66.0,30.0,31.0,0.30030685663223267,0.8592629432678223,0.9148356914520264,-1298374.9389648438,-1015835.9527587891,-501.12524032592773,-12.766929864883423,-373.1929302215576,-887.0850563049316
2,2020-05-17,97334.0,66.0,16.0,25.0,0.09219323098659515,0.9561492204666138,0.001146833412349224,-1247207.9277038574,-1015246.9635009766,-469.9869155883789,-9.862794280052185,-355.6100368499756,-835.4596996307373
3,2020-05-24,112190.0,108.0,25.0,28.0,0.08132784068584442,0.8290949463844299,0.20647592842578888,-1149873.924255371,-1014528.9611816406,-435.8273983001709,-8.505422472953796,-339.96057510375977,-784.2933654785156
4,2020-05-31,148747.0,105.0,41.0,27.0,0.1245213970541954,0.8943062424659729,0.050963159650564194,-1037683.9637756348,-1013501.9683837891,-396.7694282531738,-7.249308824539185,-309.9780797958374,-713.9968299865723
5,2020-06-07,181619.0,123.0,38.0,49.0,0.06162785366177559,0.804961621761322,0.11922169476747513,-888936.9964599609,-1012397.0031738281,-358.88514518737793,-5.47915518283844,-282.4015140533447,-646.7658233642578
6,2020-06-14,199048.0,174.0,61.0,44.0,0.043720804154872894,0.929226279258728,0.0444042906165123,-707317.9721832275,-1010998.0010986328,-321.78897857666016,-3.8391637802124023,-253.65087985992432,-579.2790412902832
7,2020-06-21,208392.0,194.0,50.0,44.0,0.07690615952014923,0.765969455242157,0.07460224628448486,-508269.9775695801,-1009319.0002441406,-283.8311433792114,-2.303161323070526,-226.02510452270508,-512.1594429016113
8,2020-06-28,147791.0,202.0,68.0,71.0,0.09974461793899536,0.8868180513381958,0.06070380285382271,-299878.00121307373,-1007369.0032958984,-246.96729183197021,-0.9308089315891266,-198.3451247215271,-446.24327659606934
9,2020-07-05,71029.0,227.0,63.0,66.0,0.07170234620571136,0.0,0.06002202257514,-152086.99703216553,-1005229.0344238281,-212.08369731903076,0.0,-171.71759605407715,-383.8013219833374
10,2020-07-12,35269.0,208.0,68.0,64.0,0.043314769864082336,0.0,0.030445799231529236,-81058.00151824951,-1003246.0021972656,-177.70812511444092,0.0,-145.13338804244995,-322.841534614563
11,2020-07-19,15829.0,124.0,40.0,45.0,0.05141514167189598,0.0,0.025658998638391495,-45789.000391960144,-1001725.9979248047,-142.46811866760254,0.0,-118.30921173095703,-260.7773423194885
12,2020-07-26,7548.0,77.0,29.0,35.0,0.08051103353500366,0.0,0.031221408396959305,-29960.00051498413,-1000847.0153808594,-106.81618452072144,0.0,-90.99628925323486,-197.81248569488525
13,2020-08-02,3718.0,29.0,23.0,27.0,0.11411433666944504,0.0,0.038015373051166534,-22411.999106407166,-1000416.0308837891,-71.82995080947876,0.0,-63.693130016326904,-135.52308440208435
14,2020-08-09,2637.0,18.0,1.0,10.0,0.5492672324180603,0.0,0.33824029564857483,-18693.9999461174,-1000214.0045166016,-38.017868995666504,0.0,-36.572086811065674,-74.58995819091797
15,2020-08-16,4401.0,5.0,4.0,7.0,0.9700446724891663,0.0,0.9419991374015808,-16056.999564170837,-1000121.9940185547,-11.782839894294739,0.0,-13.116973638534546,-24.899812638759613
16,2020-08-23,11656.0,3.0,2.0,2.0,0.9408266544342041,0.0,0.9372150301933289,-11655.999720096588,-1000074.0051269531,-1.5736132860183716,0.0,-1.6811659559607506,-3.254779167473316
