index,dates,ari,i_hosp_new,i_icu_new,d_new,p_w,p_s,p_l,o_0,o_1,o_2,o_3,o_4,o_5
0,2020-05-03,52639.0,102.0,36.0,49.0,0.9880699515342712,0.9580183625221252,0.9822108149528503,-8690489.959716797,-1149170.913696289,-46.54785394668579,-10.25280237197876,-188.93280029296875,-245.7334542274475
1,2020-05-10,240580.0,64.0,25.0,28.0,0.9925967454910278,0.9685956835746765,0.9939181804656982,-8637850.952148438,-1148433.9141845703,-25.853118300437927,-1.8894845247268677,-170.90325355529785,-198.64585876464844
2,2020-05-17,924694.0,160.0,59.0,36.0,0.9886265397071838,0.9686253070831299,0.9851139783859253,-8397270.965576172,-1147396.9268798828,-25.42179822921753,-1.3802063465118408,-170.47470808029175,-197.27670907974243
3,2020-05-24,2391519.0,656.0,197.0,90.0,0.9786462187767029,0.962857186794281,0.9726673364639282,-7472576.904296875,-1143872.9095458984,-25.077444314956665,-1.0085571557283401,-170.1888918876648,-196.274893283844
4,2020-05-31,2806062.0,2061.0,736.0,340.0,0.9803968667984009,0.9555677175521851,0.982781708240509,-5081057.7392578125,-1131172.9431152344,-24.676205217838287,-0.7488904148340225,-169.77823972702026,-195.20334005355835
5,2020-06-07,1479264.0,4184.0,1474.0,834.0,0.9977138042449951,0.961446225643158,0.9998149275779724,-2274995.994567871,-1099069.9768066406,-24.32895302772522,-0.5525680631399155,-169.46693658828735,-194.3484663963318
6,2020-06-14,534426.0,4167.0,1520.0,1167.0,0.9999980926513672,0.9981836676597595,0.9998791217803955,-795732.0213317871,-1056705.0170898438,-24.08241629600525,-0.25310590863227844,-169.31569576263428,-193.65122079849243
7,2020-06-21,178711.0,2501.0,881.0,1026.0,0.9999997615814209,0.9999955892562866,0.9990335702896118,-261305.99975585938,-1025560.9893798828,-24.04302805662155,-0.013522920198738575,-169.31205987930298,-193.36860179901123
8,2020-06-28,57619.0,1105.0,353.0,618.0,0.9999951124191284,0.9999740123748779,0.9760569334030151,-82595.0026512146,-1010009.9945068359,-24.04298335313797,-3.181143028996303e-05,-169.29864883422852,-193.3416509628296
9,2020-07-05,17799.0,439.0,152.0,304.0,0.9999921321868896,0.0,0.9539564251899719,-24976.00018978119,-1003567.9626464844,-24.042895436286926,0.0,-168.9828395843506,-193.02572965621948
10,2020-07-12,5455.0,157.0,55.0,142.0,0.9999809265136719,0.0,0.8942573666572571,-7176.999747753143,-1001232.9864501953,-24.04264658689499,0.0,-167.98070669174194,-192.02335596084595
11,2020-07-19,1390.0,60.0,18.0,41.0,0.4369356036186218,0.0,0.0069304876960814,-1721.9999805092812,-1000382.9956054688,-24.0421324968338,0.0,-165.8202052116394,-189.86233234405518
12,2020-07-26,235.0,14.0,8.0,19.0,0.9831872582435608,0.0,0.0006794889341108501,-331.99999015778303,-1000127.0294189453,-14.34851884841919,0.0,-151.23720169067383,-165.58571219444275
13,2020-08-02,61.0,7.0,1.0,6.0,0.9999780654907227,0.0,0.003103627823293209,-96.9999993685633,-1000044.0216064453,-0.7234233431518078,0.0,-120.92820405960083,-121.65162205696106
14,2020-08-09,25.0,2.0,0.0,2.0,0.9992424249649048,0.0,0.009034352377057076,-36.00000054575503,-1000018.9971923828,-0.3247570479288697,0.0,-90.53434729576111,-90.85910081863403
15,2020-08-16,11.0,0.0,0.0,0.0,0.997246265411377,0.0,0.010761811397969723,-11.000000085914508,-1000009.0026855469,-0.31118630431592464,0.0,-60.25773286819458,-60.56891441345215
16,2020-08-23,0.0,0.0,0.0,0.0,0.989519476890564,0.0,0.01176665909588337,0.0,-1000005.0354003906,-0.2457974711433053,0.0,-30.107277631759644,-30.353073477745056
