index,dates,ari,i_hosp_new,i_icu_new,d_new,p_w,p_s,p_l,o_0,o_1,o_2,o_3,o_4,o_5
0,2020-05-03,52336.0,108.0,28.0,52.0,0.954537034034729,0.8206811547279358,0.9810498356819153,-6259078.9794921875,-105438.99536132812,-150.73988437652588,-46.44615173339844,-87.48064637184143,-284.66668367385864
1,2020-05-10,223685.0,68.0,25.0,45.0,0.9843118786811829,0.7745885848999023,0.9850673675537109,-6206742.858886719,-104679.99458312988,-129.55831289291382,-37.32039928436279,-69.53690648078918,-236.41561031341553
2,2020-05-17,783114.0,175.0,49.0,39.0,0.9697241187095642,0.6935296058654785,0.9598379135131836,-5983057.78503418,-103686.99073791504,-128.1458020210266,-34.635701179504395,-68.96632313728333,-231.74781560897827
3,2020-05-24,1865738.0,555.0,193.0,92.0,0.8943718671798706,0.45522540807724,0.8816758394241333,-5199943.923950195,-100445.99533081055,-127.31385231018066,-31.50381088256836,-68.21203827857971,-227.0296812057495
4,2020-05-31,1972662.0,1793.0,646.0,289.0,0.5412104725837708,0.32822105288505554,0.32600733637809753,-3334206.008911133,-89168.99681091309,-125.62472820281982,-27.94358253479004,-66.61674380302429,-220.18504858016968
5,2020-06-07,802770.0,3349.0,1125.0,657.0,0.024089528247714043,0.21325631439685822,0.2635926306247711,-1361544.0368652344,-63515.000343322754,-120.7448959350586,-24.262571334838867,-61.21596693992615,-206.22342109680176
6,2020-06-14,220321.0,2807.0,939.0,817.0,0.013697238638997078,0.029909422621130943,0.28066855669021606,-558773.9944458008,-33400.001525878906,-106.16085529327393,-19.532508850097656,-49.720221757888794,-175.41358351707458
7,2020-06-21,106873.0,1304.0,429.0,622.0,0.9835335612297058,0.029909422621130943,0.8944323062896729,-338453.00674438477,-15549.00050163269,-81.18637800216675,-12.562960386276245,-35.641783475875854,-129.39111471176147
8,2020-06-28,93670.0,476.0,167.0,344.0,0.7255721688270569,0.036347292363643646,0.8156765699386597,-231580.01899719238,-8270.000219345093,-65.41767120361328,-3.855614960193634,-26.100075244903564,-95.37335515022278
9,2020-07-05,54504.0,267.0,80.0,149.0,0.7409809827804565,0.0,0.8350392580032349,-137910.00843048096,-5185.999870300293,-61.8924081325531,0.0,-23.141655325889587,-85.03405630588531
10,2020-07-12,33654.0,173.0,55.0,93.0,0.7415433526039124,0.0,0.8503023982048035,-83406.001329422,-3222.000002861023,-54.25037145614624,0.0,-19.334208965301514,-73.58457505702972
11,2020-07-19,20690.0,116.0,42.0,58.0,0.7369520664215088,0.0,0.859897255897522,-49751.99997425079,-1978.9999723434448,-46.791648864746094,0.0,-15.875762701034546,-62.667410373687744
12,2020-07-26,12577.0,72.0,16.0,38.0,0.7326016426086426,0.0,0.8665522336959839,-29061.999917030334,-1190.9999698400497,-39.23889398574829,0.0,-12.680260837078094,-51.91915512084961
13,2020-08-02,7563.0,44.0,12.0,16.0,0.7291473746299744,0.0,0.8747740983963013,-16484.999656677246,-702.9999792575836,-31.52487874031067,0.0,-9.657387435436249,-41.182264387607574
14,2020-08-09,4537.0,26.0,9.0,14.0,0.7275345325469971,0.0,0.8897185325622559,-8922.000229358673,-383.0000013113022,-23.67628812789917,0.0,-6.789439171552658,-30.465726256370544
15,2020-08-16,2782.0,12.0,5.0,10.0,0.7294034361839294,0.0,0.9103388786315918,-4385.000094771385,-200.99999383091927,-15.737751126289368,0.0,-4.161893576383591,-19.8996439576149
16,2020-08-23,1603.0,12.0,2.0,5.0,0.7403055429458618,0.0,0.9176127314567566,-1603.0000522732735,-68.99999920278788,-7.788019627332687,0.0,-1.915590837597847,-9.703610613942146
