index,dates,ari,i_hosp_new,i_icu_new,d_new,p_w,p_s,p_l,o_0,o_1,o_2,o_3,o_4,o_5
0,2020-05-03,22604.0,98.0,34.0,47.0,0.08260836452245712,0.06051158532500267,0.08308868110179901,-246663.99955749512,-1004813.9190673828,-549.2578506469727,-93.81537437438965,-371.8843936920166,-1014.9575901031494
1,2020-05-10,13829.0,78.0,15.0,26.0,0.1018136665225029,0.07004624605178833,0.13387277722358704,-224060.01091003418,-1004100.9521484375,-511.6367816925049,-80.11119842529297,-340.8785343170166,-932.6264762878418
2,2020-05-17,10030.0,41.0,16.0,23.0,0.27156510949134827,0.04673781991004944,0.1510288417339325,-210231.01806640625,-1003626.9378662109,-471.460485458374,-66.99625492095947,-310.347843170166,-848.8045692443848
3,2020-05-24,7881.0,27.0,15.0,10.0,0.1340799778699875,0.09539735317230225,0.026834337040781975,-200201.01070404053,-1003336.9445800781,-434.9937438964844,-53.848981857299805,-281.117844581604,-769.9605846405029
4,2020-05-31,5487.0,18.0,6.0,5.0,0.23842912912368774,0.39900168776512146,0.1805880218744278,-192320.0011253357,-1003132.9345703125,-400.36234855651855,-40.81985950469971,-250.49188137054443,-691.6740703582764
5,2020-06-07,6314.0,10.0,6.0,8.0,0.3145197927951813,0.26264363527297974,0.4972298741340637,-186833.00018310547,-1002965.9271240234,-364.19196128845215,-29.982080459594727,-219.65041160583496,-613.8244342803955
6,2020-06-14,8476.0,12.0,4.0,6.0,0.2956574261188507,0.4233661890029907,0.505696177482605,-180518.99671554565,-1002847.900390625,-332.1192264556885,-20.80925464630127,-196.37879133224487,-549.3072652816772
7,2020-06-21,11361.0,16.0,3.0,6.0,0.28069818019866943,0.4171275496482849,0.4984716475009918,-172043.00165176392,-1002732.9254150391,-301.6731262207031,-11.494293212890625,-179.46912050247192,-492.63652324676514
8,2020-06-28,13603.0,14.0,9.0,5.0,0.26705771684646606,0.4231005012989044,0.48458772897720337,-160681.9987297058,-1002589.9505615234,-270.52314281463623,-3.4568798542022705,-162.65192031860352,-436.63191318511963
9,2020-07-05,14335.0,21.0,7.0,8.0,0.2666160762310028,0.0,0.4742755889892578,-147079.00285720825,-1002413.9404296875,-238.81099224090576,0.0,-145.53418159484863,-384.3451452255249
10,2020-07-12,15380.0,28.0,6.0,6.0,0.27249401807785034,0.0,0.45997166633605957,-132744.00234222412,-1002214.9658203125,-206.82382583618164,0.0,-128.0407428741455,-334.86454725265503
11,2020-07-19,16028.0,32.0,6.0,12.0,0.28595513105392456,0.0,0.44652223587036133,-117364.00127410889,-1001950.9887695312,-175.01590251922607,0.0,-110.1891279220581,-285.20503520965576
12,2020-07-26,16625.0,35.0,9.0,10.0,0.30935075879096985,0.0,0.4378213882446289,-101336.00234985352,-1001679.0008544922,-143.688702583313,0.0,-91.91844463348389,-235.60714960098267
13,2020-08-02,17999.0,28.0,9.0,10.0,0.3455907702445984,0.0,0.4364962577819824,-84710.99734306335,-1001389.9993896484,-113.21511268615723,0.0,-73.31625819206238,-186.5313720703125
14,2020-08-09,19834.0,37.0,6.0,19.0,0.3455907702445984,0.0,0.4426394999027252,-66711.99798583984,-1001112.9760742188,-84.07738208770752,0.0,-54.58260774612427,-138.65999221801758
15,2020-08-16,22205.0,30.0,12.0,16.0,0.3455907702445984,0.0,0.4564034044742584,-46877.9981136322,-1000764.9993896484,-55.94123601913452,0.0,-35.97012758255005,-91.91136360168457
16,2020-08-23,24673.0,35.0,15.0,12.0,0.3455907702445984,0.0,0.46837759017944336,-24672.99997806549,-1000413.9709472656,-27.911946177482605,0.0,-17.73425191640854,-45.64619779586792
